,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Gonzaga,124.361,91.007,0.973,33–4,33,37,59,44.2,35.3,25.9,14.9,19,31.5,26.8,71.4,61.4,43.4,36.3,30.4,13.5,5.8,56.2,41.4,35.3,34.9,70.487,78.212,80.475,1.839,"2,019",-0.434,-0.35,55.473,,76.1,69.7,1.228,0.909,23.968,Gonzaga
2,Virginia,123.773,91.097,0.971,35–3,35,38,55.2,44.7,29.1,26.3,14.7,17.5,30.4,25.4,60.6,52.5,45.7,39.5,28.9,13,8.3,55.9,43.3,39.5,42.5,59.2,77.203,81.011,1.552,"2,019",2.584,2.65,73.381,,74.4,66.6,1.167,0.916,36.046,Virginia
3,Texas Tech,115.935,86.419,0.967,31–7,31,38,53.5,43,32.9,36.6,17.7,22.8,27.4,28.7,67.3,52.8,41.9,36.5,29.7,15.4,7,50.3,49.5,36,40.3,65.964,76.923,79.206,1.87,"2,019",2.271,3.136,47.191,,73.2,69.4,1.074,0.878,34.669,Texas Tech
4,Michigan,115.323,86.767,0.963,30–7,30,37,51.6,44.1,27.5,24.1,13.9,18,24.7,24.8,65.1,51.8,44.3,34.2,29.1,10.3,9.6,54.4,45.8,39.9,30.1,64.442,77.708,81.075,1.42,"2,019",-0.537,-0.371,80.432,,70.1,66.3,1.068,0.895,33.94,Michigan
5,Duke,119.642,90.378,0.962,32–6,32,38,53.6,45,33.2,24,17.5,19.4,35.6,29.5,73.1,58,45,30.8,29.9,16.4,8,52.4,49.8,37.3,35,72.151,78.656,80.832,0.687,"2,019",0.178,-0.35,88.931,,68.6,69.6,1.128,0.925,38.368,Duke
6,Michigan St.,120.609,92.258,0.956,32–7,32,39,55.2,43.9,33.6,27.5,18.5,14.9,33.9,26.4,67.9,54.3,41.9,37.8,31.6,13.7,8.4,66.8,51.9,37.8,37.2,67.136,77.545,79.804,1.768,"2,019",1.258,1.629,70.057,,75.3,67.9,1.135,0.951,38.557,Michigan St.
7,North Carolina,120.822,92.617,0.955,29–7,29,36,52.9,48.9,30.2,28.4,17.2,18.3,35.3,22.8,75.8,52.1,47.9,36.2,33.5,9.5,10.9,60.6,54.2,35.8,43.8,74.505,78.502,80.814,1.759,"2,019",-0.837,-1.35,76.654,,74.3,67.9,1.128,0.963,36.704,North Carolina
8,Kentucky,118.256,90.965,0.953,30–7,30,37,53,46.6,41.9,26.8,18.6,17.9,36.8,25.5,67.2,52.9,43.6,35.4,34.3,13.4,7.8,51.2,47.9,29.6,38.6,65.373,78.06,80.796,0.592,"2,019",0.392,0.629,95.376,,73.9,70.5,1.121,0.956,35.019,Kentucky
9,Purdue,123.492,95.571,0.95,26–10,26,36,53.6,49,29.9,31.7,15.8,18.6,34.5,27,65.9,51.5,47.2,37.4,34.2,12.6,11.6,53.6,53.5,45.5,43.2,65.538,78.269,81.609,1.565,"2,019",0.573,1.136,56.197,,71.9,73.2,1.147,1.007,36.876,Purdue
10,Tennessee,123.523,96.501,0.945,30–6,30,36,55.3,48.1,33.3,34.9,15.8,18,31.6,30.2,69.1,55.4,44.7,36.7,35.4,14.8,6.4,59.5,51.3,32.2,40.2,67.333,77.811,80.279,2.179,"2,019",-0.274,-0.371,55.685,,75.8,65.5,1.165,1.003,34.459,Tennessee
