Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Gonzaga,125.912,90.934,0.977,31–1,31,32,61,47.7,35.8,25.7,16.1,19.3,30.1,23.8,74.3,63.9,47,36.8,32.7,6.9,6.8,55.7,45.5,33.2,33.7,73.532,78.108,80.58,1.528,"2,021",1.104,1.65,80.761,,73,70.3,1.219,0.934,28.538,Gonzaga
2,Baylor,125.065,92.869,0.968,28–2,28,30,56.5,48.9,26.5,31.3,16.5,24.4,37.3,30.6,69.3,53.2,48.7,41.3,32.9,10.3,10.6,55.3,51.8,38.4,34.3,67.733,76.684,79.37,1.967,"2,021",2.737,2.65,57.416,,70.8,69.5,1.191,0.941,32.855,Baylor
3,Houston,119.129,91.257,0.955,27–4,27,31,50.4,43.9,31.3,41.2,16.2,21.1,39.8,27.9,65.3,49,43.4,34.8,29.9,14.6,7.3,52.1,53.3,42.2,37.7,64.295,77.106,79.302,1.843,"2,021",1.052,1.629,57.911,,73.3,65.6,1.146,0.897,22.252,Houston
4,Illinois,116.897,90.661,0.949,24–7,24,31,55.6,46.5,37.9,30.1,18.1,16.1,32.2,22.1,71.3,55.4,45.1,37.2,32.9,6.9,9.3,55.6,45.1,30,32.6,70.45,76.996,80.548,1.627,"2,021",-1.533,-2.35,73.109,,69,68.7,1.118,0.953,39.765,Illinois
5,Michigan,116.545,90.617,0.948,23–5,23,28,54.7,44.4,30.4,24.3,16.6,14.8,29.6,24.7,67.6,53.5,42.6,38.1,32.2,10.1,7.4,57.5,42,33.9,31.9,66.569,77.889,82.229,2.078,"2,021",0.466,-0.35,66.856,,76.9,76,1.117,0.958,35.831,Michigan
6,Iowa,123.425,97.21,0.94,22–9,22,31,54.7,48.8,32,22.2,13.3,16.1,30.9,29.1,70.8,52.6,46.6,38.6,34.8,11.6,8.3,63.9,60.2,39.8,39.5,69.824,77.914,81.654,1.656,"2,021",-1.062,-1.371,61.215,,71.5,67.6,1.177,1.023,36.532,Iowa
7,USC,114.302,90.512,0.936,25–8,25,33,52.7,44.9,36.3,24.1,18,16.9,35,28.3,67.6,52.2,42.1,36,33.3,12.8,6.9,50.7,53.8,31,35.1,66.843,79.377,82.589,1.679,"2,021",1.015,1.921,47.985,,64.9,73.4,1.093,0.949,34.688,USC
8,Colorado,115.685,92.499,0.929,23–9,23,32,52.4,47.9,29.5,29.1,17.1,19.8,30.8,25.5,66.4,50.4,46.8,37.3,33.3,7.8,8.1,52.7,48.4,36.4,35.1,66.071,77.447,80.306,2.245,"2,021",-0.524,-0.114,48.237,,81.9,73,1.101,0.961,33.522,Colorado
9,Alabama,111.953,89.667,0.928,26–7,26,33,51.7,45.8,28.8,30.7,18.6,20.5,32.2,29.2,74.5,50.7,46.8,35.2,29.1,10.5,14.2,50,43.8,46.5,34.3,73.315,77.695,80.152,1.841,"2,021",-0.027,-0.371,70.27,,70.8,68.9,1.065,0.937,32.273,Alabama
10,Florida St.,115.194,93.065,0.921,18–7,18,25,54,46.1,32.4,35.2,20.4,19.5,34.4,31.7,69.9,52.7,44.5,37.6,32.5,14.3,7.3,52.4,51.4,34.9,39.5,69.644,79.591,82.065,1.949,"2,021",0.271,0.464,53.523,,74.1,73.4,1.094,0.981,30.019,Florida St.
