Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Gonzaga,120.307,89.886,0.966,28–4,28,32,58.7,43.1,30.6,22.7,15.7,16.3,29.1,23.4,73.8,60.4,41.8,37,30.5,13.1,6.9,55,41.1,35.3,33.3,72.646,78.737,81.959,1.559,"2,022",-1.154,-1.35,86.976,,71.5,69.9,1.181,0.897,26.117,Gonzaga
2,Houston,116.537,88.5,0.959,32–6,32,38,53.1,43.3,29,34.7,16.9,21.7,37.7,28,65.1,54.5,43.4,33.8,28.8,17.1,6.3,58.5,55.2,38.9,42.7,63.717,77.41,80.47,2.179,"2,022",0.44,1.886,51.79,,66.7,71.7,1.139,0.895,25.58,Houston
3,Kansas,119.794,91.268,0.958,34–6,34,40,53.8,45.8,32.3,27.7,17.3,18.1,32.9,28.6,69.5,53.6,46.4,36.1,29.8,10.9,8,53.6,48.3,33.1,34.8,69.115,77.142,80.111,2.082,"2,022",2.887,2.65,77.998,,71.7,71.9,1.116,0.959,36.766,Kansas
4,Texas Tech,110.513,85.408,0.951,27–10,27,37,52.6,45.8,35.1,31.9,19.8,23.2,33.2,25.8,67.3,54.9,44.5,32.1,31.5,12.1,7.2,52.2,53.6,34.1,45.5,66.317,78.314,80.053,2.456,"2,022",-0.571,0.136,22.03,,69.8,69,1.06,0.892,36.023,Texas Tech
5,Baylor,117.777,91.327,0.949,27–7,27,34,52.8,47.8,29,27.7,17.9,22.9,36.3,28.8,68.6,53.6,49.2,34.3,30.2,9.7,7.4,56.3,55.9,38.4,36.2,67.556,77.617,81.058,1.781,"2,022",-1.528,-2.35,55.889,,69.7,70.3,1.115,0.927,35.184,Baylor
6,Duke,122.716,95.987,0.944,32–7,32,39,55.6,47.1,28.6,19.1,15,15.7,31.7,28.9,68.2,56,46.6,36.6,32,13.2,8.2,55.1,50.4,35.7,33.6,67.421,78.372,81.821,0.988,"2,022",1.546,1.629,91.521,,73.8,69.1,1.17,0.991,30.229,Duke
7,Tennessee,111.291,87.061,0.944,27–8,27,35,50.7,46.4,29,31.5,17.7,22.9,32.4,27.2,68.7,48.5,46,35.9,31.3,12.8,7.9,63,52.1,40.3,39.2,67.356,76.747,81.038,1.362,"2,022",-1.44,-0.864,69.805,,71.5,71.1,1.062,0.91,33.715,Tennessee
8,Villanova,117.171,92.98,0.935,30–8,30,38,51.5,47.3,29.8,25,15.5,18.4,31.2,28.9,63.6,49.5,48.1,35.9,30.8,6.8,11.2,48.9,49.9,46.3,42.2,62.197,77.347,79.315,2.392,"2,022",1.805,1.629,69.071,,83,73.4,1.124,0.983,34.025,Villanova
9,Arizona,118.038,93.732,0.934,33–4,33,37,55.6,44.4,34.9,24,18.3,17.4,34.7,28.6,72.7,57,41.8,35.3,32.8,13.4,7.3,65,47.2,35.9,34.7,72.258,79.442,83.03,1.191,"2,022",-0.226,-1.35,69.26,,73.9,67.4,1.147,0.929,26.259,Arizona
10,UCLA,115.836,92.245,0.932,27–8,27,35,50.6,47.6,29.5,28.3,13.2,19.4,31.3,25.3,66.5,49.5,47.3,35.4,32.1,9.5,7.5,50.2,50.2,31.2,38.1,65.369,77.88,80.205,2.209,"2,022",0.001,0.464,79.66,,74.1,72.6,1.115,0.953,28.105,UCLA
