Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Villanova,128.731,94.422,0.972,36–4,36,40,59.5,48.5,29.4,26.7,15,18.2,29.6,27.1,70,59,49,40.1,31.7,10.5,8.2,53.7,51.8,47.5,35.7,68.398,77.329,79.488,1.313,"2,018",2.467,2.65,80.592,,77.9,74.7,1.226,0.994,34.647,Villanova
2,Virginia,115.021,87.143,0.961,31–3,31,34,52.7,44.3,24.5,26.2,14,20.9,27,25.6,60.6,50.1,42.8,38.3,31,12.3,7.3,54,47.6,35,40.8,59.27,77.508,80.13,1.72,"2,018",-3.177,-3.35,71.072,,75.4,73.2,1.105,0.889,29.826,Virginia
3,Duke,122.685,93.329,0.959,29–8,29,37,55.9,46.4,34.6,22.3,17.5,17.3,38.8,30,70.6,56,45.4,37.2,32,12.4,6.7,57.6,56.1,36.3,36.8,69.726,79.097,82.429,0.688,"2,018",-0.094,0.629,92.943,,71,72.8,1.187,0.98,31.758,Duke
4,Purdue,123.557,96.064,0.948,30–7,30,37,57.7,47,35.6,24.2,15.8,17.7,28,28,68,54.1,45.5,42,33.2,12.5,7.5,57.9,48.8,40.1,34.4,67.517,77.695,82.87,2.106,"2,018",-0.101,-0.371,59.458,,74.3,68.9,1.178,0.963,31.147,Purdue
5,Cincinnati,112.111,87.873,0.943,31–5,31,36,51.2,43.3,36,26.8,17,21.6,38.5,28.2,66.1,50.2,41.4,35.3,30.9,15.8,7.8,60.4,48.8,35.3,37.8,64.976,77.445,80.66,1.731,"2,018",-1.623,-1.371,63.963,,69.2,68.4,1.124,0.871,21.957,Cincinnati
6,Kansas,122.491,96.703,0.938,31–8,31,39,57.5,49.1,27,24.6,16.6,18.2,29.4,31.2,70.2,55.6,48.6,40.1,33.3,10.9,9.9,55.7,48.5,41.2,39.1,68.692,77.704,80.921,1.783,"2,018",1.779,0.65,80.44,,70.9,71.3,1.156,1.021,36.499,Kansas
7,Michigan,114.748,90.715,0.937,32–8,32,40,53.9,47.7,30.7,30,14,19.5,25.5,24.9,65.6,54.7,46.8,35.2,33.2,7.9,10,53.4,43.6,43.1,30.2,64.682,77.771,81.526,1.626,"2,018",2.847,3.136,56.368,,66,72.1,1.101,0.955,34.066,Michigan
8,West Virginia,121.16,96.164,0.934,26–11,26,37,50.4,49.9,31.3,44.1,16.5,23.3,37,30.1,70.7,48.8,45.4,35.3,38,15.9,10.1,54.3,55.3,38.4,38.6,69.965,77.304,80.45,1.669,"2,018",0.262,0.886,38.54,,76.6,71.2,1.13,0.982,33.74,West Virginia
9,Michigan St.,119.184,94.66,0.934,30–5,30,35,56.9,42.7,35.9,30.7,19.2,14.6,37,26.6,68,55.2,38.4,40.1,33.7,18.4,6.9,67.3,54.1,36.3,35.5,66.834,77.332,80.792,1.323,"2,018",-1.104,-0.864,84.499,,74.6,72.8,1.175,0.95,27.218,Michigan St.
10,Xavier,121.329,97.661,0.924,29–6,29,35,55.9,49.9,41,25.6,17.2,15.7,30.2,23.1,72.3,55.9,49.8,37.2,33.4,8.4,9.6,57.3,52.1,35.8,41.1,70.463,78.483,80.776,1.844,"2,018",-1.105,-2.35,76.28,,77.9,76,1.155,1.023,31.342,Xavier
11,North Carolina,120.962,97.399,0.924,26–11,26,37,52,50.1,28,26,16.7,16.3,37.4,25.5,71.7,51,45.3,35.9,38,11.1,11.2,61,55.7,35.1,40.9,71.41,77.462,80.482,1.844,"2,018",-1.273,-1.371,77.447,,74.3,68.7,1.134,1.018,38.33,North Carolina
12,Tennessee,114.545,92.429,0.922,26–9,26,35,50.8,46.7,35.5,37.6,17.9,20.4,33.4,31.1,67,47.3,46.1,38,31.8,12.8,8.7,62.1,48.9,35.7,36.5,65.914,76.811,79.896,1.393,"2,018",-0.983,-0.864,47.881,,75.7,71,1.094,0.974,32.478,Tennessee
13,Gonzaga,117.591,95.226,0.919,32–5,32,37,57,47.1,32.1,29.1,16.1,17.4,33,23.1,69.6,58.2,44.1,36.8,35,9.6,7.4,50.1,46.2,39.4,35.7,69.352,78.446,81.272,1.51,"2,018",0.278,0.464,73.63,,70.8,71.6,1.183,0.959,20.748,Gonzaga
14,Texas Tech,113.078,91.813,0.916,27–10,27,37,52,46.4,39.3,38,17.8,21.7,32.9,28.7,68.2,51.1,45.1,35.9,32.3,12.2,10,51.9,45.3,33.5,38.4,66.347,77.621,79.516,1.786,"2,018",1.038,1.136,36.705,,70.4,70.3,1.086,0.944,34.399,Texas Tech
15,Ohio St.,116.29,94.628,0.915,25–9,25,34,54.1,48.7,31.1,29.5,17.1,17.9,30.2,25.2,67.9,54.7,46.1,35.3,35.1,11.3,6.9,52.5,49.9,34.2,39.9,66.952,76.726,79.628,1.815,"2,018",-0.644,-0.114,59.776,,73.1,70.2,1.111,0.985,30.682,Ohio St.
16,Florida,115.587,94.245,0.913,21–13,21,34,50.8,48.7,32.6,32.4,14.3,20,28.7,30.5,68.3,47.6,46.6,37,35.2,12.6,8.5,49.7,47.2,40.4,33.4,67.272,76.89,80.092,1.885,"2,018",-0.246,-0.079,69.428,,71.9,73.1,1.097,1.001,32.322,Florida
17,Houston,115.213,94.334,0.909,27–8,27,35,53.3,45.5,32.6,41.6,17.5,19.1,33.8,25.8,68.4,50.5,43.8,38.7,32.3,9,7.1,53,51.9,37.2,37.9,68.247,75.56,78.497,2.125,"2,018",-0.175,-0.079,24.411,,71.8,70.3,1.122,0.949,22.669,Houston
18,Butler,116.425,95.667,0.905,21–14,21,35,54,51.9,26.1,35.3,15.7,19.5,27.6,24.6,69.5,54.3,49.5,35.7,37.3,8.2,8.9,47.9,50.3,37.4,37.6,67.859,76.655,79.774,1.614,"2,018",-0.077,0.379,52.743,,77.6,74.3,1.112,1.022,36.179,Butler
19,Kentucky,116.151,95.997,0.899,26–11,26,37,51.8,46.8,44,32.3,18.6,16.8,35.7,31,69.7,51.2,48,35.7,30.1,13.7,8.5,48.9,52.2,25.8,42.6,68.785,78.862,81.523,0.189,"2,018",0.638,0.886,95.962,,69.8,69.2,1.098,1.004,32.126,Kentucky
20,Clemson,112.885,93.447,0.898,25–10,25,35,52.9,47.2,33.5,27.2,17.4,17.4,27.2,26.3,67.5,51.6,43.9,36.6,35.2,13.3,10.6,51.5,48.5,39.9,37.4,66.015,77.357,80.314,2.022,"2,018",0.448,0.886,54.866,,75.5,70.1,1.086,0.97,32.503,Clemson
21,Seton Hall,118.201,98.551,0.89,22–12,22,34,52.9,50.3,35.2,29.8,17.8,17.7,34.3,28.4,71,52,50,36.5,33.8,9.1,8,54.4,48.9,33.1,37.7,69.467,78.034,80.957,2.043,"2,018",-0.013,0.3,61.137,,69.8,72.4,1.111,1.033,33.587,Seton Hall
22,Creighton,116.561,97.734,0.883,20–12,20,32,57.4,50.1,26.5,24.8,15.6,15.8,22.5,24.6,72.8,58.7,50,37.2,33.6,6.2,8.8,58.2,50.8,44.9,37.4,71.041,77.285,80.214,1.695,"2,018",-0.764,-0.7,48.746,,75,72,1.135,1.022,33.028,Creighton
23,TCU,119.77,100.791,0.879,21–12,21,33,56.5,52.3,34.1,30.5,17.8,17.4,34.2,26.1,70,55.1,50.1,39.4,37.6,9.4,10.9,62.8,57.2,35.2,35.6,68.751,78.077,81.049,2.036,"2,018",-0.913,-1.079,29.047,,70.6,73.1,1.152,1.058,31.588,TCU
24,Wichita St.,121.265,103.032,0.867,25–8,25,33,55.1,49.4,34.8,33.2,16.5,16.3,35.4,22.6,70,53.8,46,38.1,36.3,11.1,9.1,63.7,44,39.2,40.4,68.849,77.803,80.401,2.303,"2,018",-1.236,-1.536,38.199,,73.9,72.6,1.174,1.016,23.916,Wichita St.
25,Auburn,114.298,97.251,0.865,26–8,26,34,50.8,49.7,39.8,38.1,16.4,20.7,32.1,28,73.4,48.7,47.7,35.7,35.1,15.2,9.3,53.2,52.4,43.2,39.6,72.594,75.841,79.021,1.241,"2,018",-0.416,-0.536,58.941,,77.4,72.2,1.115,0.997,26.289,Auburn
26,Texas A&M,111.531,95.053,0.863,22–13,22,35,51.4,46.9,32,27.6,19.2,15.3,33.9,27.3,70.8,52.5,45.7,32.9,32.6,15.2,9.5,55.1,57.4,33,37.6,69.035,78.789,81.914,1.551,"2,018",1.016,1.093,82.201,,66.1,68.8,1.062,0.996,34.859,Texas A&M
27,Florida St.,113.429,96.685,0.863,23–12,23,35,53.2,48.4,37,32.4,17.8,19.4,32.3,29.8,72.1,53.6,45.4,35,35.5,14,7.7,52.6,48.7,36.8,37.7,71.337,78.496,81.2,1.607,"2,018",2.032,2.4,59.86,,69.1,71.4,1.097,0.997,32.433,Florida St.
28,Miami FL,113.536,96.83,0.862,22–10,22,32,53.1,49,29.1,28.1,16.8,18.8,29.1,28.2,67.9,52.2,48.8,36.4,32.8,11,9,48.5,53.3,36,35.6,66.992,77.114,81.181,1.249,"2,018",-0.757,-1.079,81.652,,66.2,71.2,1.079,0.993,28.786,Miami FL
29,Kansas St.,109.823,94.022,0.856,25–12,25,37,52.6,49.1,33.8,36.8,17.2,21.6,25.9,31.9,66.5,53.4,48.9,34.1,33,9.3,7.1,54.4,54.5,36.8,39.9,65.246,77.082,80.352,1.344,"2,018",2.416,2.4,47.73,,73.4,73.2,1.065,1.004,32.117,Kansas St.
30,Virginia Tech,115.504,98.937,0.856,21–12,21,33,57.7,50.4,36.5,29.4,17,18.6,23.9,29.4,69.9,57.3,49.2,38.8,34.7,6.6,11.1,58.2,54.5,39.9,42.8,69.019,76.79,78.86,1.785,"2,018",-0.72,-0.7,75.538,,70.9,69.7,1.13,1.022,29.985,Virginia Tech
31,Texas,109.638,94.089,0.853,19–15,19,34,50,48.3,33,26.2,17,18,29.4,29.1,67,51.2,47.5,32,33.2,12.7,8,44.6,48.8,38.1,35.2,65.407,77.743,81.515,0.957,"2,018",-0.672,-0.621,74.625,,66.5,71.2,1.039,0.991,36.502,Texas
