Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Kentucky,121.769,86.148,0.982,38–1,38,39,51.5,39.6,43.9,31.7,16.3,21.3,39.5,31.8,63.8,51.2,39.1,34.9,27.1,18.2,6,55,40.1,27.1,30.5,62.834,79.292,83.308,0.732,"2,015",-0.1,0.65,95.498,,72.6,66,1.155,0.844,29.307,Kentucky
2,Duke,126.79,92.802,0.973,35–4,35,39,56.6,46.5,39.8,23.9,16.3,18.6,35.8,30.2,65.9,55.9,46.3,38.7,31.4,9,8.3,53.5,47,33.4,27.8,65.77,77.534,81.331,1.062,"2,015",2.8,2.65,95.491,,69.9,69.4,1.194,0.967,36.852,Duke
3,Wisconsin,130.542,95.845,0.972,36–4,36,40,54.8,47.7,36.2,22.4,12.4,15.8,32.1,23.7,59.5,54.8,44.7,36.5,37.5,8.2,6.3,49.7,40,37.4,25.7,58.719,79.203,82.389,2.077,"2,015",1.8,1.65,67.699,,76.3,71,1.211,0.972,34.572,Wisconsin
4,Arizona,119.167,89.185,0.966,34–4,34,38,53.5,45.1,47.1,37.3,16.5,20.6,34.5,22.4,66.6,53.3,42.7,36,33.5,9.8,6.3,52.3,47.6,25.9,31.5,66.107,77.836,81.471,1.481,"2,015",-0.2,0.629,82.563,,71.9,69.8,1.147,0.894,26.734,Arizona
5,Villanova,123.608,93.335,0.962,33–3,33,36,55.3,45.5,41.8,30.4,16.3,21.6,32.5,31.2,65,53,45.3,38.9,30.5,11,8.6,62.2,54,42.9,32.2,64.07,77.403,79.912,1.885,"2,015",-1.9,-2.35,67.053,,73.1,68,1.168,0.93,27.398,Villanova
6,Virginia,113.871,86.402,0.96,30–4,30,34,50.6,42.3,34.9,28.6,15.7,17.9,34.3,24.2,58.6,49.7,40.1,35.2,30.8,13.3,7.4,53.5,49.4,27.5,36.6,57.754,78.344,80.638,1.652,"2,015",-1.8,-1.371,73.465,,72.6,64.6,1.108,0.872,30.466,Virginia
7,Gonzaga,121.999,95.197,0.945,34–3,34,37,57.9,44.2,38.7,30.5,16.1,17.1,33.9,28,65,57,42,40,33,8.2,6.5,57,43.8,31.8,30.3,64.567,78.235,82.716,2.111,"2,015",0.6,0.629,61.37,,68.8,66.7,1.193,0.948,23.325,Gonzaga
8,Utah,116.472,90.968,0.945,25–9,25,34,55.2,43,43.4,34.3,18.2,18.3,31.3,28.4,62.5,52.3,41.4,40.1,31.2,13.6,10.1,57.2,43.2,37.3,29.3,60.73,77.76,81.657,1.554,"2,015",0.2,0.886,27.543,,70.5,68.2,1.131,0.915,29.695,Utah
9,North Carolina,121.174,94.646,0.945,26–12,26,38,51.6,45.4,35.2,37.8,18.2,17.7,40,31.2,69.2,50.9,45.6,35.8,30,11.4,8.2,60.2,52.4,22.3,36.8,69.284,77.336,80.84,1.309,"2,015",0.3,0.464,89.438,,70.2,70.1,1.116,0.989,38.816,North Carolina
10,Notre Dame,126.963,100.9,0.934,32–6,32,38,58.3,47.9,36.7,24.1,14.5,17.3,27.9,32.2,63.8,58.2,47.4,39,32.6,9.1,7.2,54.9,50,37.6,31.5,63.302,77.249,79.308,1.767,"2,015",1,1.136,78.911,,74.2,71.3,1.204,1.015,32.71,Notre Dame
