Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
48,Butler,116.2,103.4,0.793,1–2,1,3,51.5,58,25.8,23.5,16,16.5,27.8,25,62.7,40.9,59.3,49.1,36.7,4.4,10.9,47.9,49.4,32.5,30.2,65.7,77.299,79.091,2.128,"2,016",0.2,0.4,61.077,,76.2,63.2,1.064,1.128,46.239,Butler
49,Yale,112.3,100,0.792,1–1,1,2,48.7,52.1,36.8,26.3,17.7,13.1,40.6,27.5,64.9,56,45.6,23.1,43.6,11.4,12,52.9,52.8,34.2,33.1,66,76.942,79.41,2.27,"2,016",0.3,0.486,3.85,,76.2,74.2,1.101,1.124,47.762,Yale
50,Florida Gulf Coast,108.5,96.9,0.786,4–1,4,5,57.3,43.4,42.6,35.2,19.1,12.8,38.7,25.8,68.5,58.7,41.7,35.2,31.1,11.3,9.2,49.7,50.8,24.6,34.2,66.3,77.38,80.411,1.331,"2,016",-0.1,-0.007,24.576,,61,70.6,1.158,0.987,19.102,Florida Gulf Coast
51,Wisconsin,93.6,83.6,0.786,2–2,2,4,41.4,44.7,28.8,34,18.4,16.8,27.1,22.1,63.8,43.4,44.9,25.6,29.2,8.2,12.5,46.9,38.8,38.7,23.3,64.7,78.016,80.463,1.348,"2,016",1.1,1.093,58.366,,67.2,75.7,0.889,0.928,37.839,Wisconsin
52,Temple,111.7,101.8,0.744,1–2,1,3,46.9,48.9,24.2,27.2,14.5,13.5,36.4,29,64.2,49.2,47.3,28.1,35.3,7,9.2,48.8,45.6,33,28.3,65.2,77.473,79.896,2.186,"2,016",-0.3,-0.621,55.758,,61.7,71.4,1.053,1.053,31.106,Temple
53,Utah,116.4,106.1,0.744,3–2,3,5,56.1,54.6,34.5,19.3,23.1,12,29.6,30.2,65,52.8,51.9,41.3,40.2,5.1,10.4,52.4,35.5,36.1,32.3,64.5,77.564,81.582,2.011,"2,016",-0.1,-0.864,34.826,,81.8,72.1,1.075,1.169,42.462,Utah
54,UNC Wilmington,115.1,105.4,0.734,3–1,3,4,51.7,49.3,31.8,64.2,15,16.5,31.7,29,66.4,48.8,48.6,38.5,33.9,10.6,9.8,38.2,48.9,32.2,30.4,68,76.038,79.546,1.606,"2,016",-0.4,-0.25,1.709,,70.1,75.6,1.112,1.097,24.955,UNC Wilmington
55,Austin Peay,114.8,107.7,0.676,4–1,4,5,56.5,52.6,54.2,32.7,19,14.4,34.3,30.3,72,54.4,60.2,40.2,26.3,4.4,8.8,52.1,49.7,35.9,36.4,71.3,76.334,78.983,1.667,"2,016",0,-0.007,0.232,,67.5,70.8,1.153,1.134,22.323,Austin Peay
56,Holy Cross,100.9,95.6,0.65,5–1,5,6,50,46.7,30.9,28.7,15.5,20.5,22.1,35.4,61,46.9,50.6,35.9,28.4,5.8,12.6,63.9,61.7,44.8,48.5,60.1,76.3,79.578,1.649,"2,016",0,-0.007,5.623,,63.3,69.8,0.996,0.996,17.797,Holy Cross
57,Texas Tech,103.8,99.1,0.63,0–2,0,2,47.9,55.6,17.1,39.8,19.3,21.6,28.8,26.7,64.8,46.9,43.3,33.3,50,8.3,13.6,56,57.8,30.8,38.8,64.2,77.56,80.266,1.716,"2,016",-0.5,-0.7,18.334,,55,74.4,0.95,1.066,29.543,Texas Tech
58,Iowa,105.9,102.3,0.598,1–2,1,3,45.5,56.2,23.6,18,16.5,18.9,31.7,28.4,66.2,45.4,54.2,30.6,40,6.8,10.1,61.8,62.5,37.7,33.7,67.9,78.494,82.096,2.125,"2,016",0,0.093,54.413,,71.1,78.1,0.999,1.091,37.976,Iowa
59,South Dakota St.,105.6,102.6,0.582,3–1,3,4,45.7,51,42.7,35,16.9,17.7,31.8,23.6,63.4,44.8,47.1,31.4,39.7,5.7,12,45.8,40.7,40.8,31,66.2,76.548,79.676,1.889,"2,016",-0.4,-0.514,12.379,,83.3,76.1,1.056,1.029,18.231,South Dakota St.
60,Chattanooga,103.6,100.9,0.575,3–1,3,4,48.8,52.2,40.3,27.8,21.7,18.8,30.8,34.9,68,50,55.4,31.1,30.1,14,8.5,44.7,45.9,34.3,31.7,67.4,77.023,79.324,2.305,"2,016",-0.2,-0.514,7.903,,78.2,76.6,1.026,1.063,18.579,Chattanooga
61,Southern,96.4,94,0.572,3–1,3,4,44.7,42.8,36.3,45.5,15.6,21.1,27.3,24.8,68.8,44,38,30.9,33,10.7,7.2,45.7,60,29.1,42.1,70.1,75.812,79.023,2.059,"2,016",0,0,3.311,,75.3,72.6,0.992,0.901,4.205,Southern
62,Weber St.,102,100.1,0.554,3–1,3,4,56,49.6,30.1,21.1,22.2,15.3,20.5,30.1,66.5,57.8,48.5,36,36.2,5.4,7.3,62.6,39.7,47.8,18.7,64.7,76.775,80.035,1.391,"2,016",-0.2,-0.064,1.595,,66.7,62.3,1.005,1.027,20.059,Weber St.
63,Texas,107.6,105.7,0.551,0–2,0,2,47.4,52.5,31.9,55,13.8,19.1,27.3,34.5,65.4,44.2,52.4,35.9,35.1,12.7,9.1,54.2,34.8,33.6,37,69,76.959,81.235,1.958,"2,016",-1.1,-1.079,73.204,,62.2,81.8,1.016,1.146,37.676,Texas
64,Vanderbilt,95.7,95,0.521,0–2,0,2,42.7,43.9,32.7,33.6,17.9,10.5,23.4,26.3,66.9,43.9,40.5,27.3,34.2,11.9,9.1,63.4,46.8,40,31.1,67.7,78.641,82.804,1.344,"2,016",0,0,60.005,,58.3,73.2,0.86,1.024,39.897,Vanderbilt
65,Hampton,109.3,110.1,0.479,3–1,3,4,51.5,53.4,37.6,21.6,17.3,14.7,32.1,21.7,68,51.9,51.9,33.8,37.5,3.2,10.8,41.9,44.1,30.1,33.9,70.2,76.047,78.994,2.293,"2,016",0,-0.007,4.609,,76.5,66.7,1.096,1.052,19.772,Hampton
66,Tulsa,103.3,106.2,0.421,0–2,0,2,47.2,47.7,41.1,33.3,17.6,11.8,24.6,34.1,68.1,51.9,49.4,23.3,30,10.1,11.7,46.8,42.6,28,38.8,66.8,76.347,79.345,2.725,"2,016",0,0,3.983,,63.6,76.7,0.947,1.146,28.78,Tulsa
67,Stony Brook,105.5,110.9,0.36,3–1,3,4,47.1,55.4,49,25.4,14.8,15.9,40.9,25.8,67.5,43.9,54.1,37.7,38.4,10.3,11.1,61.8,41.1,25.3,37.1,67.4,76.619,79.327,2.267,"2,016",-0.2,-0.25,0.2,,64.4,71.2,1.122,1.107,18.868,Stony Brook
68,Fairleigh Dickinson,103.7,118,0.185,3–1,3,4,49,52.6,29.4,54.6,11.7,19.2,24.7,34.2,72.9,47.6,59.9,34.4,27.8,4.4,11.4,53.6,58.9,36.6,39.6,74.3,75.774,78.451,0.746,"2,016",0,0,0.2,,63.6,66.9,1.049,1.104,7.298,Fairleigh Dickinson
