Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,North Carolina,121.1,88,0.975,7–1,7,8,48.7,46.7,37.9,36.6,15.3,18.2,38.4,24.5,72.9,50.6,44.3,29.7,33.7,11.1,9.4,63.6,44.1,31.4,38.1,72.8,77.937,81.405,1.917,"2,017",3.02,2.65,88.126,,70.4,77.8,1.117,0.976,50.462,North Carolina
2,Gonzaga,113.5,83.9,0.97,8–1,8,9,51.6,39.8,42.7,28,16.8,14,28,26.9,69.3,49.2,38.8,38.3,27.9,12.9,11.6,43.3,40.2,29.6,32.4,71,78.513,82.62,1.78,"2,017",1.76,1.65,68.782,,67.4,66.5,1.065,0.888,39.935,Gonzaga
3,Iowa St.,127.7,95.5,0.966,4–1,4,5,61.8,49.1,32,24.8,14.4,12.4,20.6,28.7,69.6,62.1,50,40.9,31.6,10.7,10.3,49.7,55,38.7,36.2,68.2,76.814,78.437,2.508,"2,017",-0.53,-0.114,54.193,,71.4,70,1.195,1.071,50.182,Iowa St.
4,Rhode Island,124,93,0.965,4–1,4,5,55.1,43.8,40,37.7,15.3,16.5,27.1,33,66.8,55.6,43.2,36.1,30,10.1,5.1,49.3,44.2,35.3,31.1,66.1,77.065,79.822,1.795,"2,017",0.34,0.393,64.496,,73.6,73.4,1.15,0.997,35.92,Rhode Island
5,Michigan,128.3,96.7,0.963,6–1,6,7,58.1,51.4,26.7,21.2,12.1,17.8,19,33.6,64,58.8,49.7,38.2,37.4,7,8.8,51.8,46.9,44.5,27.7,64.3,78.154,81.791,2.007,"2,017",1.03,1.093,64.639,,81.7,68.2,1.177,1.068,51.494,Michigan
6,Wisconsin,123.2,93.4,0.96,4–2,4,6,54.8,50.6,31.4,32.7,18.3,16.7,37.7,28.5,61.6,50.5,48,40.9,36.8,7.8,8.9,51.9,41.4,39.5,35.8,63.2,77.532,80.762,2.056,"2,017",0.82,1.3,56.744,,64.8,74,1.149,1.057,52.442,Wisconsin
7,South Carolina,119.8,92,0.954,4–2,4,6,49.4,48.9,43.1,33.4,14.8,22.6,32.3,32,68.5,50.2,46.6,31.9,35.2,10.3,11.1,44.8,52.1,32.5,38.6,68.9,77.096,80.611,1.537,"2,017",2.94,3.093,50.958,,72,81.1,1.105,1.01,57.491,South Carolina
8,Wichita St.,114.2,87.7,0.954,4–1,4,5,46,41.2,50.4,32.4,18,15.5,36.7,26.6,65.7,40.1,40.4,38.3,28.3,14.6,13.7,45.9,47.5,34.1,39.8,66.1,77.722,80.469,1.45,"2,017",-0.52,0.379,40.472,,74.1,64.1,1.087,0.892,32.123,Wichita St.
9,Kentucky,117.9,90.7,0.953,6–1,6,7,50.2,46.4,44.3,29.6,14.7,17.8,30.1,30.4,69.7,48.6,48.6,36.1,28.2,11.8,10.6,47.5,47.2,30.2,33.6,68.9,77.433,81.549,0.935,"2,017",0.69,0.629,86.539,,72.1,71.2,1.096,0.985,42.391,Kentucky
10,Florida,117.8,90.9,0.952,3–2,3,5,49,47.9,35.9,33.9,18,19.1,30.4,27.9,65.7,50,47.6,31.6,32.3,11.2,5.1,43.5,44.5,39.3,33.2,68.7,77.266,80.777,1.974,"2,017",1.03,1.464,70.37,,74,71.6,1.047,0.975,49.001,Florida
11,Kansas,125.8,97.1,0.952,3–2,3,5,57,50.7,33,25.8,14.6,19.1,30.5,24.4,71.3,56.7,49.5,38.3,35.1,10.3,7.3,52,48.5,41.8,37.6,71.8,77.174,80.91,1.763,"2,017",0.25,-0.35,75.629,,80.2,76.3,1.206,1.001,41.058,Kansas
