Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Kansas,120.7,85.3,0.982,9–0,9,9,52.6,41.7,31.4,29.9,15.3,17.6,30.1,27.9,69.6,52,39.6,35.9,30.3,13.1,9.3,52.9,53.1,30.8,34.9,69.9,77.142,80.111,2.082,"2,022",2.887,2.65,77.998,,72.4,70.8,1.107,0.899,41.677,Kansas
2,Texas Tech,113.9,81.8,0.978,4–2,4,6,53.8,45.6,24.9,34.5,18,22,28.6,24,66.7,53.4,48,36.4,28.5,13.3,5.6,51.8,55.7,31.4,44.2,67.1,78.314,80.053,2.456,"2,022",-0.571,0.136,22.03,,64.7,74.8,1.055,0.907,44.168,Texas Tech
3,Tennessee,117,84.1,0.978,4–1,4,5,54.2,43.3,25,33.5,15.5,20.1,26.7,27.5,65.8,50.5,45.1,40.4,26.6,6.3,6.5,70.4,53.8,36.1,34.9,66.5,76.747,81.038,1.362,"2,022",-1.44,-0.864,69.805,,69.4,77.8,1.1,0.921,37.207,Tennessee
4,North Carolina,116.2,83.9,0.977,6–2,6,8,46.7,43.3,30,21,15.6,11.5,36.4,22.6,69.2,47.6,43.1,30.3,29.2,8.7,13.3,58.8,49,40.6,32.1,70.3,78.254,81.474,1.742,"2,022",3.754,4.3,87.453,,74.4,68.2,1.068,0.937,49.194,North Carolina
5,Houston,117.3,86.9,0.969,6–1,6,7,51.4,42.1,31.9,33.3,15.8,19.5,38.2,30.4,62.4,53.3,45.3,32.2,24.8,12.6,5.3,59.2,63,37.7,40.1,61.7,77.41,80.47,2.179,"2,022",0.44,1.886,51.79,,68.3,75,1.126,0.929,43.045,Houston
6,Virginia Tech,126.2,95.9,0.959,4–1,4,5,57,52,34.7,35,14.6,14.6,24.8,23.6,65.4,54,56.5,41.6,29.9,7.6,8,49.6,55.5,36.5,38.6,66.1,76.763,79.95,2.136,"2,022",-0.848,-0.607,20.673,,77.1,76.3,1.165,1.081,48.03,Virginia Tech
7,Gonzaga,123.8,96,0.949,4–1,4,5,55.7,45,36.7,26.8,14.2,12.2,26.3,26.8,72.1,59.5,45,31.6,30,11.7,8.3,54.6,40.6,31.7,33.1,71,78.737,81.959,1.559,"2,022",-1.154,-1.35,86.976,,65.5,73,1.127,1.01,41.313,Gonzaga
8,Iowa,126.7,98.7,0.946,4–1,4,5,55.9,49.4,27.7,22.8,15.7,15.1,34.7,32,68.9,54.4,50.9,38.6,30.6,8.4,9.4,60.5,56.8,45,31.4,69.5,77.502,80.532,1.681,"2,022",-1.964,-1.114,43.723,,76.7,73.2,1.202,1.046,34.169,Iowa
9,Vermont,119.5,93.3,0.945,3–1,3,4,61.7,43.9,21.6,28.4,9.8,16.9,24,15.4,63.7,61.3,40.4,41.5,33.8,4.4,7.7,54,41,39.8,33.3,62.9,76.344,78.553,2.807,"2,022",-0.509,-0.25,4.679,,66.7,69,1.275,0.859,13.14,Vermont
10,Memphis,116.4,91.5,0.941,3–2,3,5,48.1,47.9,33.3,35,20.4,14.7,40.2,26.3,66.6,49.1,48.7,29.9,31.2,12,6.3,55.4,62.1,23,44.2,66.4,77.792,81.378,1.725,"2,022",0.021,0.4,80.073,,72.2,67.7,1.051,1.015,47.571,Memphis
11,Creighton,110.1,86.7,0.94,3–2,3,5,48.6,42.4,31,25.5,19.1,16.2,27.8,28.7,67.5,51.1,44.5,29.7,26.1,8.4,8.5,55.3,45.7,38.7,38.4,68,78.241,81.359,1.319,"2,022",0.487,0.4,67.849,,80.9,75.9,1.015,0.934,48.591,Creighton
12,Loyola Chicago,92.7,73.4,0.936,3–1,3,4,44.9,35.9,33,34.4,21.3,21.3,26,26.7,65.7,43.4,41.5,31.2,17.7,4.6,14.8,54.9,45.6,43.3,37.8,66.4,76.759,79.514,2.525,"2,022",-0.678,-0.621,5.155,,62,76.4,0.901,0.78,26.368,Loyola Chicago
13,Villanova,113.6,90.1,0.935,7–1,7,8,47.4,44.8,24.7,22.5,15.4,15.8,31.6,34,60.1,44.5,48.6,33.5,25.9,4.6,13.8,48.3,50.3,50.7,38.3,60.2,77.347,79.315,2.392,"2,022",1.805,1.629,69.071,,85.3,65.7,1.065,0.986,43.923,Villanova
14,TCU,108.5,86.1,0.935,2–2,2,4,47.6,47.2,39.5,26.1,21,18.5,37.3,25.9,66.7,47,50,32.8,28.4,12.3,9.8,51,56.1,28.1,37.6,65.7,77.933,80.572,1.734,"2,022",0.042,0.4,65.515,,65.6,67.2,1,0.95,54.543,TCU
15,UCLA,120.1,95.5,0.933,4–2,4,6,50.4,48.9,26.3,28.2,12.8,16,27.6,27.6,62.5,49.2,48.5,35.8,33.1,9.2,8.6,48.1,44.2,28,39.9,62.9,77.88,80.205,2.209,"2,022",0.001,0.464,79.66,,82,77.2,1.107,1.04,41.268,UCLA
16,Saint Mary's,121.9,97.7,0.927,2–2,2,4,53.8,50.9,24.7,36.3,15.3,12.2,27.4,22,63.8,51.3,48.5,39.4,39.6,6.6,6.6,44.3,45,31.8,22.3,62,77.82,80.684,2.27,"2,022",-0.116,-0.114,32.634,,76.4,76.9,1.106,1.094,50.861,Saint Mary's
17,New Mexico St.,110.4,89.3,0.92,3–1,3,4,49,41.9,35,33,22,17.3,31.3,27.5,63.7,44.9,43.5,36.4,26.4,10.5,5.1,57.6,59,42.7,42.3,63,78.058,80.361,2.364,"2,022",0.558,0.486,16.577,,79.2,81.7,1.016,0.933,32.037,New Mexico St.
18,Duke,125.7,101.9,0.918,6–2,6,8,55.5,50.1,31.7,19.9,15.1,13,31.1,32.8,67.2,59.4,45.9,31.8,38.8,14.7,8.1,46.6,48.4,33.6,34.4,66.9,78.372,81.821,0.988,"2,022",1.546,1.629,91.521,,76.4,75.7,1.174,1.11,42.26,Duke
19,Miami FL,110.2,89.4,0.917,4–2,4,6,49.9,48.3,24.5,26.9,13,20.2,18.9,31.9,68.1,55.2,50.4,25.9,29.3,10.7,12.1,56.2,56.1,32.7,32.2,67.9,76.713,80.224,2.424,"2,022",2.07,2.379,65.462,,69,61.9,0.995,0.98,46.258,Miami FL
20,Davidson,117.4,96.2,0.908,2–2,2,4,54.1,47.1,30.8,29.6,12.4,14.7,18.1,21,66.3,51.5,51.9,38.5,26.9,7.5,9.2,56.9,45.7,41.2,41.2,65.9,78.038,80.984,2.001,"2,022",-0.631,-0.621,36.235,,79.4,74.6,1.105,0.992,24.101,Davidson
21,Baylor,115.2,94.4,0.908,1–2,1,3,47.8,51.8,32,35.8,12.5,24.1,33.6,30.3,68.7,53.5,46.4,26.7,39.7,13.4,7,54.8,65.3,43,41.2,68.3,77.617,81.058,1.781,"2,022",-1.528,-2.35,55.889,,73.4,72.9,1.103,0.992,34.243,Baylor
22,Michigan,111.5,91.6,0.906,2–2,2,4,48.4,46.4,34.8,20.2,18.5,13.7,29.1,25.7,67.5,48.4,45.6,32.4,31.6,13.4,10.5,56.3,59.6,30.8,39.7,69.1,78.228,82.778,1.413,"2,022",1.074,1.393,72.575,,79.2,78,1.018,0.992,50.402,Michigan
23,Purdue,117.8,96.8,0.905,4–2,4,6,50.6,46.1,48.4,21.4,19.1,11.4,37.7,26.4,65.6,53.5,47.2,30.5,29.7,8.3,9.1,51.4,53.6,37.3,38.8,66.5,78.453,82.01,1.778,"2,022",0.075,0.136,60.487,,73.9,68.8,1.101,1.017,33.582,Purdue
24,Chattanooga,106.1,87.5,0.902,3–1,3,4,47.6,49.3,28.3,30.1,16.3,17.5,31.9,18.8,62.5,52.3,54.7,25.3,28.1,4.3,6.5,37,42.7,32.6,43.2,62.9,77.024,79.374,2.605,"2,022",-0.326,-0.25,20.793,,73.8,58.1,1.038,0.929,23.812,Chattanooga
25,Texas,116.4,96,0.902,1–2,1,3,50.3,52.1,26.8,68.8,14.1,19.1,28.4,31.3,66.3,43.6,51.5,40.6,35.7,8.1,11.8,59.2,43.9,38.5,29.8,68.5,76.788,79.048,2.664,"2,022",-0.042,-0.079,78.557,,66.7,74.2,1.066,1.101,50.602,Texas
26,Michigan St.,117.4,98.2,0.886,3–2,3,5,51.7,51.2,24.4,32.8,12.5,12.2,27.8,28.1,65.8,52,51.4,34,33.9,12.2,9.2,51.1,51.5,34.4,38.9,66.7,78.586,81.359,1.746,"2,022",0.278,0.093,75.799,,76.7,67,1.11,1.119,44.159,Michigan St.
27,Arkansas,105.6,88.4,0.885,4–2,4,6,44.4,48.2,35.3,32.6,15.4,18.7,21.3,21.6,71.5,47,48.9,26.4,31.3,11.1,8.3,51.4,46.6,34.5,33.8,70.9,76.757,79.641,2.292,"2,022",1.752,1.464,47.294,,82.3,77.5,0.965,0.965,47.039,Arkansas
28,Arizona,118.7,99.7,0.881,5–1,5,6,54,48.6,37.8,28.5,20.9,15.1,35.5,29.5,70.2,53.3,42.9,36.9,38.6,13.9,10.6,62.7,53.8,35,37.9,71.2,79.442,83.03,1.191,"2,022",-0.226,-1.35,69.26,,79.5,71.6,1.12,1.046,37.317,Arizona
29,Akron,111.3,93.6,0.88,3–1,3,4,52.9,47.4,28.7,28.3,18.3,19.9,28.7,32.1,61.6,48.1,45.7,40.8,33.8,9.4,9,38.9,45.5,36.4,34.9,61,76.279,80.08,1.974,"2,022",-0.118,-0.25,14.226,,78.3,68.3,1.087,0.982,26.62,Akron
30,San Diego St.,101.4,85.3,0.88,2–2,2,4,46.1,47,26.3,34.3,22.4,24.3,33.3,30.3,61.6,44.1,52,33.8,25.4,15,5.3,56.2,53.6,30,35.9,63.9,77.275,80.352,2.481,"2,022",-0.844,-0.7,31.863,,64.9,63.2,0.931,0.899,33.403,San Diego St.
31,Connecticut,115.7,98.1,0.87,1–2,1,3,45,50,23.5,18.8,14.3,16,39,26.3,58.4,42.9,40.4,32.3,42.4,16,9.5,57.6,48.5,38.2,41.3,60.1,78.16,81,2.112,"2,022",-1.161,-1.114,54.692,,80,83.3,1.056,1.056,39.309,Connecticut
32,UAB,117.6,100.7,0.856,3–1,3,4,54.1,49.1,42.7,30.7,20,16,33.3,30.9,68.8,51.7,53.8,38.5,28,8.1,12.6,36.7,44,38.9,40.1,69.4,76.646,80.366,2.645,"2,022",-0.223,-0.514,28.246,,79,69.5,1.106,1.063,31.579,UAB
33,Ohio St.,107.8,92.5,0.853,1–2,1,3,47.7,45.7,32.2,30.9,20,15.7,31.5,27.2,61.7,51.5,44.6,27.3,31.4,13,3.1,43.1,49.2,36.2,43.2,65.9,77.248,79.752,1.936,"2,022",0.182,0.093,66.738,,77.6,70,0.989,0.989,39.943,Ohio St.
34,Notre Dame,115.6,99.5,0.849,2–2,2,4,55,52,27.9,21.8,16.6,14.8,21.4,28.6,65.4,53.1,51.5,39,35.3,3.7,11.6,48.2,51.8,35.8,34.3,65.9,78.08,80.4,2.393,"2,022",0.561,0.393,72.248,,75,72.2,1.085,1.074,46.548,Notre Dame
35,Providence,105.5,91,0.846,3–2,3,5,43.5,45.1,30.8,35.6,13,13.3,29.6,24.6,66,44.1,52.2,28.4,21.6,7.7,14,49.6,41.9,38.4,35.9,65.9,77.714,80.621,2.733,"2,022",0.977,0.464,42.028,,71,63.4,0.997,0.969,33.437,Providence
36,Saint Peter's,104.4,90.2,0.843,6–1,6,7,47.4,41.4,38.5,44.7,15.7,17.6,25.4,31.9,64.5,45,42.9,35,25.9,15.1,11.1,49.1,57.9,30.9,35.5,64.7,76.197,79.399,1.895,"2,022",2.817,2.936,0.2,,77.4,74.1,1.026,0.959,32.483,Saint Peter's
37,Colgate,114.7,99.8,0.832,3–1,3,4,61.5,45.4,28.1,16.1,16.7,16.4,23.7,29.7,65.7,53.2,41.3,51.3,35.2,10.6,7.1,68.4,53.6,35,35.5,66.1,77.075,80.565,2.413,"2,022",-0.258,-0.164,0.2,,72.1,72.5,1.183,0.966,11.623,Colgate
38,Indiana,108.2,94.2,0.831,3–2,3,5,46.9,50.9,29,31.7,14.9,17.9,27.1,27.1,67.1,47.5,46.1,29.9,38.6,11.4,7.2,58.7,57.9,23.1,40.6,67.8,78.018,80.526,2.053,"2,022",-0.423,-0.514,72.37,,75,74.2,0.998,1.049,45.545,Indiana
39,San Francisco,110.6,97,0.819,1–2,1,3,50,51.4,37.4,44.1,13,16.1,24.4,23.5,71.4,54.1,59.3,30.3,22.2,9.8,12.2,33.8,54.1,47.6,30.5,69.7,77.33,81.411,2.568,"2,022",-0.985,-0.621,3.516,,65.7,69.2,1.044,1.058,45.602,San Francisco
40,Boise St.,103.4,90.9,0.815,3–1,3,4,47.3,47.7,38.6,24.5,20.3,19.9,27.3,29,64.1,46.9,46,31.9,34.3,6.7,7.7,53.6,50.5,35.6,31.8,63.5,78.468,80.519,2.402,"2,022",-0.481,-0.7,32.117,,69.2,66.7,0.956,0.96,33.625,Boise St.
41,Rutgers,119.7,105.8,0.805,0–2,0,2,54,55.6,14.7,34.4,12.6,11.2,31.9,25.8,63.8,54.5,59.5,35.4,31.7,9.5,6.8,56.9,50.8,35.3,32.8,63.3,78.702,80.718,2.135,"2,022",0,0,51.706,,70,79.1,1.13,1.214,48.89,Rutgers
42,Delaware,103.5,91.6,0.803,3–1,3,4,47.1,44.7,37.6,26.7,16.9,17.3,28.9,29.5,63.5,53.8,46.3,21.5,28.1,9.6,6.9,42.4,35.2,31,39.6,66,77.165,80.382,2.079,"2,022",-0.111,-0.064,13.46,,70.9,76.7,1,0.972,27.462,Delaware
43,Murray St.,116.1,103.5,0.789,3–1,3,4,50.6,50.7,46.4,43.5,17.2,13.2,36.4,24.1,67.7,48,54.7,36.8,29.7,10.8,16.9,47.6,46.6,37,39.6,67.1,76.615,79.972,2.121,"2,022",0.419,0.093,18.119,,67,65,1.112,1.066,21.117,Murray St.
44,Georgia St.,113.9,102,0.781,3–1,3,4,44.8,48.6,36.5,32.7,13.2,17.7,30.8,36.7,68,37.9,46.4,41.8,35.4,13.3,10.9,62.8,45.7,27.8,32.2,66.4,75.872,79.491,2.162,"2,022",-0.059,-0.007,28.01,,81.8,67.5,1.059,1.074,26.068,Georgia St.
45,Kentucky,114.1,102.7,0.77,1–2,1,3,45.4,53.2,37.6,32.7,16.5,18.4,35.1,25.5,68,47.8,46.8,26,43.3,18,8.1,60.3,51.3,26.9,35.1,68.4,76.828,80.438,1.856,"2,022",-2.031,-2.371,74.515,,70,76.8,1.026,1.059,38.247,Kentucky
46,Colorado St.,104.5,94.2,0.767,1–2,1,3,47.8,50.3,24.7,32.7,18.8,22,23.5,34.9,62.1,52.4,57.3,28.4,23.4,3.9,8.3,56.9,65.7,46.8,31.3,63.1,75.69,78.681,2.004,"2,022",-0.535,-1.079,19.502,,59,77.6,0.933,1.014,39.09,Colorado St.
47,LSU,104.7,94.7,0.76,1–2,1,3,47.3,47.3,49,34.5,23.9,23.5,25.3,34.3,69.6,55.6,46.2,22.8,32.5,14.3,13.3,65.1,62.7,38.8,45.8,69.2,77.616,80.415,1.196,"2,022",-1.184,-1.079,72.652,,80.6,81,0.943,0.986,31.505,LSU
48,Illinois,98.2,88.9,0.758,1–2,1,3,41.6,43.6,39.4,24.4,20.2,13.5,26.1,29.9,64.3,42.9,44.4,26.6,27.7,8.3,8.8,69.6,44.4,41.3,26.1,66.2,77.299,81.538,2.241,"2,022",-0.14,-0.536,54.781,,67.2,65.9,0.881,0.964,46.557,Illinois
49,Richmond,103.5,94.2,0.747,5–1,5,6,46.2,49.7,43.9,23.8,13.8,19.1,18.4,26,66.3,49,52.3,27.3,30.7,6,11.8,50.8,51.4,35,40.8,67,76.674,80.409,2.623,"2,022",0.771,0.486,15.581,,71.7,71.3,0.978,0.983,35.594,Richmond
50,South Dakota St.,112.1,103,0.726,3–1,3,4,53.3,51.9,32.6,19.4,11.4,15.6,26.4,23.1,65.8,50.6,50.7,39.2,36.3,4.6,4.5,44.4,41.5,32.2,34.5,66.1,76.682,79.114,2.058,"2,022",-0.448,-0.25,0.603,,76,73.3,1.148,1.042,14.527,South Dakota St.
51,USC,100.7,92.7,0.722,1–2,1,3,52.6,43.8,29.9,38.1,25.1,10,27.4,18.7,66.4,49.5,45,38.6,27.1,8.3,9.3,54.3,49.3,37,28.6,65.9,79.116,81.678,2.119,"2,022",-0.625,-0.907,59.267,,60.9,79.7,0.954,0.994,38.786,USC
52,Cal St. Fullerton,103.7,96.1,0.706,3–1,3,4,49.8,47.8,29.8,17.1,18,20.7,30.2,33.1,64.1,41.3,44.6,45.6,34.7,4.6,13.3,50.5,59.8,31.2,43,63.6,76.432,79.152,2.33,"2,022",-0.057,-0.064,12.413,,72.3,82.1,1.03,0.976,22.535,Cal St. Fullerton
53,Wisconsin,97.2,90.3,0.7,1–2,1,3,41.1,44.3,34.3,28.1,14.8,16.9,25.6,26,65.1,44.3,44.2,23.8,29.8,10,10.4,56.5,55.2,37.3,28.1,65.3,78.364,82.342,1.462,"2,022",-0.385,-0.864,62.378,,69,74.5,0.916,0.936,29.091,Wisconsin
54,Auburn,101.2,94.5,0.687,1–2,1,3,40.5,46.5,29.4,25,15.9,13.5,38.6,23.9,69.1,40.9,44.5,26.7,33.9,20.3,10.4,64.3,51.3,42.8,30.4,69.9,77.548,82.667,1.348,"2,022",-1.287,-1.371,61.608,,67.8,78.3,0.979,0.998,30.369,Auburn
55,Alabama,100.7,94.4,0.678,0–2,0,2,44.3,55.6,31.3,52.3,20.8,18.9,33.3,16.1,76.8,46.6,47.7,27.6,45.2,6.2,5.5,64,52,44.3,39.3,77.6,77.122,79.948,1.646,"2,022",-0.797,-1.079,62.2,,58.5,73.2,0.912,1.042,34.999,Alabama
56,Iowa St.,88,82.8,0.668,2–2,2,4,40,46.6,17.4,38,22.8,23.9,25.8,27.5,67.9,42.4,52.9,24.5,25,9.1,14.4,66.3,62.4,42.6,41,67.8,76.518,79.663,2.195,"2,022",1.258,1.393,47.374,,65,69.2,0.773,0.902,47.316,Iowa St.
57,Wyoming,96.8,91.1,0.668,1–2,1,3,47,44.2,31.6,31.6,26.1,14.6,27.6,25,66.4,49.4,50,29.2,20.8,1.7,10.3,45.2,45.7,42.8,31,67.6,78.721,80.509,1.816,"2,022",0,0,1.779,,72.9,72.2,0.893,0.954,34.232,Wyoming
58,Wright St.,109.6,103.7,0.654,4–1,4,5,49.5,50.5,38.9,31.4,15.5,18.6,33,32.2,70.8,44.9,54.9,39.6,27.4,7.4,13.2,58.5,37,31.9,31.8,69,76.961,79.768,1.581,"2,022",-0.033,-0.007,9.944,,80.3,72.3,1.107,1.045,18.865,Wright St.
59,Bryant,102.5,98.1,0.624,3–1,3,4,49.6,44.3,32.9,23.7,21.5,17.5,36.5,30.1,69.8,55.7,42,26.1,32.5,14.8,10.7,33,53.7,37.1,33.9,71,76.94,78.679,2.521,"2,022",0,0,3.998,,76.9,81,1.056,0.945,4.541,Bryant
60,Longwood,107.9,103.8,0.61,3–1,3,4,50.7,55.6,40.3,19.7,18.5,20,33.6,21.3,65.5,44.4,56.9,41.6,36,4.1,13.9,56.3,63.2,34.8,44.8,64.7,75.561,78.467,2.05,"2,022",-0.087,-0.164,4.353,,77.5,75,1.085,1.04,20.629,Longwood
61,Yale,95.1,92,0.594,2–1,2,3,48.8,48.5,22.5,28.8,17.2,14.7,22.1,23.4,65.9,47.4,48.9,34.5,32.1,10.9,8.8,45.2,54.3,32.5,45.9,66.1,76.299,78.217,1.898,"2,022",-0.097,-0.164,9.416,,63.2,77.6,0.956,1.027,27.238,Yale
62,Texas A&M Corpus Chris,97.7,95.3,0.571,3–1,3,4,49,42.5,29.3,43.8,17.5,17.5,28.2,23.4,71.5,47.1,41.2,35.7,29.5,5.3,11.6,62.3,51.2,28.9,42,69.5,75.778,78.731,2.352,"2,022",0,0,3.592,,69,73.7,1,0.927,5.135,Texas A&M Corpus Chris
63,Montana St.,108.5,107,0.54,3–1,3,4,56.1,50,45.1,37.3,19.1,15.4,24.5,27.1,68.1,54.6,49.3,39.2,34.2,9.9,8.5,38,37,36.3,32.4,67.8,76.746,80.128,1.961,"2,022",-0.064,-0.164,7.356,,78.3,77.4,1.105,1.065,21.41,Montana St.
64,Texas Southern,94.1,92.8,0.54,4–1,4,5,46.1,43.3,34.9,30.1,20.4,17.6,28.3,24.9,71.7,44.9,40.8,32.9,33,14.7,6.5,45.1,44.3,26,29.4,71,77.009,80.4,2.813,"2,022",-0.022,-0.007,16.145,,75.5,63.3,0.965,0.881,17.464,Texas Southern
65,Jacksonville St.,99.6,100.5,0.474,1–2,1,3,45.5,48.8,29.7,27.3,17.5,19,27,34.5,64.8,50.5,42.4,25,38.4,8.1,10.9,53.7,58.6,38.8,42.4,66.1,76.546,80.43,2.546,"2,022",-0.121,-0.064,6.265,,81.6,70.2,0.978,1.034,22.333,Jacksonville St.
