Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team2
1,Duke,124.2,84.4,0.988,7–1,7,8,54.8,42.9,34.2,22.6,13.5,17.2,28.1,32.1,61.9,55.2,43.2,36,28,10.6,7.7,47.2,46.1,26.9,27.4,63.7,77.534,81.331,1.062,"2,015",2.8,2.65,95.491,,73.8,71.8,1.156,0.939,52.265,Duke
2,Kentucky,123.4,86.3,0.984,7–1,7,8,51,40.2,48.4,33.1,15.3,17.1,36.2,32.1,62.9,48.8,40.7,39.3,25.8,16.4,6.7,47.4,38,21.2,27,62.6,79.292,83.308,0.732,"2,015",-0.1,0.65,95.498,,78.3,71.4,1.165,0.918,39.595,Kentucky
3,Villanova,121.6,85.6,0.983,4–1,4,5,57.3,42.8,29.8,28.7,15,21.4,29.9,36,62.7,52,45,42.4,25.3,11.1,6,60.3,58.5,45.5,30.5,62.6,77.403,79.912,1.885,"2,015",-1.9,-2.35,67.053,,75.6,66.7,1.202,0.909,31.714,Villanova
4,Notre Dame,128.8,94.2,0.973,6–1,6,7,56.7,47.6,43.6,28.2,16.3,16.5,25.9,36.9,63,56.3,50.7,38.5,26.1,10,9.2,59.9,42,31.2,27,63.2,77.249,79.308,1.767,"2,015",1,1.136,78.911,,79.6,73.3,1.153,1.062,55.893,Notre Dame
5,Wisconsin,136.1,101.6,0.967,8–1,8,9,56.1,52.9,36.5,23.7,11.4,12.3,33,23.7,58.7,52.8,47.8,40.7,46.8,4.1,8.7,52.6,42.7,40.4,22.9,58.5,79.203,82.389,2.077,"2,015",1.8,1.65,67.699,,79.4,83.2,1.266,1.119,53.542,Wisconsin
6,Arizona,121.6,91.2,0.965,6–1,6,7,52.8,48.3,43.4,35.5,14.9,17.6,35.5,21.6,64.2,51.3,44.5,37.6,38.5,8.3,6.7,50.3,39.9,28.8,29.1,64.3,77.836,81.471,1.481,"2,015",-0.2,0.629,82.563,,82.9,75.6,1.191,0.984,38.584,Arizona
7,North Carolina,124.2,95.7,0.953,5–2,5,7,54.3,47.1,34,41.8,18.7,16.8,37.3,32.1,67.1,50.3,46.1,45.1,32.6,6.7,4.9,58.5,51.9,22.9,35.2,68.9,77.336,80.84,1.309,"2,015",0.3,0.464,89.438,,73.3,81.1,1.129,1.069,50.458,North Carolina
8,Gonzaga,122.5,95.4,0.947,6–1,6,7,56.3,47.1,40.8,25.1,14.8,14.6,31.6,26.9,67.5,55.8,45,38.5,35,7.8,7.9,55,38.3,29.6,28.1,66.7,78.235,82.716,2.111,"2,015",0.6,0.629,61.37,,65.2,72.9,1.165,1.016,35.561,Gonzaga
9,Michigan St.,119.7,93.5,0.945,6–2,6,8,50.6,44,34.9,42.2,15.4,14.4,28.8,31.9,61.5,48.2,41.7,36.6,32.8,11.3,10,61.8,50.3,35.3,30.2,62.4,76.178,79.412,1.848,"2,015",2.9,3.093,62.703,,64.9,75.4,1.057,1.047,59.008,Michigan St.
10,Kansas,108.3,85.5,0.938,3–2,3,5,47.9,44.2,45.7,38.3,22.7,18.2,31.9,28.6,67,46.3,45.1,34.8,27.8,9.2,9.5,50.5,41.8,25.8,28.8,67.5,77.516,80.336,0.974,"2,015",-0.6,-1.371,83.717,,74.4,69.5,0.992,0.941,42.692,Kansas
