,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Michigan,111.8,80.8,0.977,4–2,4,6,50.2,42.8,23.8,20.1,14.7,14.5,23.6,20.6,63.3,54.1,43.6,29.7,27.5,9.6,9.8,67.8,58.6,41.6,35.5,64.4,77.708,81.075,1.42,"2,019",-0.537,-0.371,80.432,,74.7,66.2,1.032,0.879,45.987,Michigan
2,Kentucky,119.6,86.6,0.976,4–2,4,6,52.1,44.1,34.2,29.2,18.4,13.5,37.8,24.8,62.8,53.3,41.1,32.6,32.6,10.6,8.2,48.1,46.1,26.1,38.9,63.6,78.06,80.796,0.592,"2,019",0.392,0.629,95.376,,71.7,73.7,1.104,0.967,46.161,Kentucky
3,Texas Tech,115.8,83.9,0.976,5–2,5,7,52.2,44.2,29.8,31.9,16,21.5,21.6,31.9,66.6,52,44.4,34.9,29.2,15,7.3,44.1,56.3,37.2,40.8,66.7,76.923,79.206,1.87,"2,019",2.271,3.136,47.191,,77.8,74.6,1.055,0.935,55.435,Texas Tech
4,Purdue,130.3,96,0.971,3–2,3,5,58.1,47.3,29.9,27.6,14.8,12.4,31.4,29.2,63.2,54.9,44.9,40.8,33.9,8.6,12.5,54.7,45.2,50.5,40.7,66.4,78.269,81.609,1.565,"2,019",0.573,1.136,56.197,,65.5,73.3,1.191,1.08,46.093,Purdue
5,Gonzaga,116.4,86,0.97,4–2,4,6,54.4,46.1,30.4,27.6,18.5,19.5,33.7,24,69.2,56.2,48,34.1,28.5,13.6,10.2,58.2,36.9,35.8,35.8,70.4,78.212,80.475,1.839,"2,019",-0.434,-0.35,55.473,,70.1,73.7,1.102,0.931,37.174,Gonzaga
6,Michigan St.,120,88.7,0.97,7–1,7,8,51.6,46.2,27.3,22.8,17.6,14.5,30.7,20.9,64.5,49.6,46.2,36.5,30.9,11.7,10.2,62.1,51.9,38.3,39.5,65.5,77.545,79.804,1.768,"2,019",1.258,1.629,70.057,,79.3,71.8,1.074,0.952,50.473,Michigan St.
7,Auburn,129.1,96,0.968,8–1,8,9,55.8,54.2,29.6,33.1,12.7,22.7,26.2,31.7,65.5,53.5,54.5,38.4,35.9,14.1,13.3,48.3,53.6,54.5,41.7,66.6,76.563,79.991,2.174,"2,019",2.247,2.886,57.754,,73.2,71.3,1.18,1.048,52.443,Auburn
8,Houston,115.1,85.7,0.968,4–2,4,6,48.1,39,29.9,38.5,13.2,17.1,33.6,29.6,64.4,50,39.6,30.1,25.4,12.7,5.5,50.7,40.5,39.6,39.8,64.2,76.192,78.923,1.802,"2,019",-0.059,0.136,36.791,,65.7,73.8,1.081,0.9,38.135,Houston
9,Oregon,115.1,86.3,0.965,6–1,6,7,54,40.7,25.4,27.8,17.3,21.9,32.7,33.7,61.5,50.2,45.1,40.1,23.7,18.1,8.8,46.4,53,38.1,46.5,63.3,78.551,81.533,1.237,"2,019",1.368,1.486,80.047,,75.5,74.5,1.12,0.887,34.138,Oregon
10,Florida St.,114.2,86.9,0.959,4–2,4,6,48.3,47.7,28,29.4,18.4,17.9,31.4,25.3,66.8,46.7,47,34.1,32.5,12.4,9.7,46.3,39.9,35.7,36.7,67.9,78.662,81.864,1.929,"2,019",0.429,0.464,59.895,,80.8,70.3,1.031,0.974,57.565,Florida St.
11,Virginia Tech,115.9,88.8,0.955,3–2,3,5,49.8,48.1,28.9,24.3,14.9,20.5,25.6,26.7,62.8,47.8,51.5,35.7,29.9,7.5,8.8,55.7,57.8,35,50,63.5,76.946,79.227,1.91,"2,019",0.082,0.464,66.436,,75.3,73.8,1.057,0.951,38.703,Virginia Tech
