,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
20,Iowa St.,109.75,91.583,0.889,19–13,19,32,50.7,50.1,27.8,40,19.8,25.1,33.9,26.6,65.8,50.7,49.6,33.9,33.8,11.2,7.7,54.9,57.5,33.8,46.8,64.208,77.272,80.549,2.389,"2,023",0,0,35.724,,67.4,71.9,1.031,0.946,36.962,Iowa St.
21,Duke,112.817,94.295,0.887,26–8,26,34,51.1,46.3,30.8,24.1,18.2,16.6,36.2,25.9,65.7,51.4,46.7,33.6,30.4,12,9.6,56.4,47.9,35.4,35.1,65.25,79.071,82.706,0.89,"2,023",0,0,81.27,,77,76.5,1.1,0.97,25.204,Duke
22,Xavier,119.18,99.7,0.886,25–9,25,34,55.6,50.4,30.8,27.1,17.5,16.5,31.8,25.4,71.9,54,48.7,39.5,35.9,7.8,9.4,63.8,54.3,31.3,34.2,70.436,78.4,81.556,2.438,"2,023",0,0,53.819,,71.4,72.4,1.129,1.027,30.167,Xavier
23,Auburn,113.095,94.806,0.884,20–12,20,32,49.6,45.6,35.5,39.1,18.1,19.3,33.3,32,68.7,51,46.9,31.4,28.8,13.7,8.6,55,48.7,35.4,34.2,67.658,76.751,81.111,2.191,"2,023",0,0,47.35,,70.2,70.5,1.054,0.972,30.992,Auburn
24,Kansas St.,111.565,93.711,0.881,23–9,23,32,51.5,47.5,37,36.7,20,20.7,31.1,29.2,70.7,51.8,48.8,34,30.1,7.7,10.6,64,56,36.3,36.8,69.978,76.288,80.88,2.51,"2,023",0,0,47.815,,75,69.2,1.051,0.961,31.542,Kansas St.
25,Utah St.,117.154,98.451,0.881,25–8,25,33,55.6,47.8,35.5,30.2,17.4,15.8,27.4,24.8,69.1,54.1,45.9,38.5,34.3,8.7,7.5,62.3,46.9,42.1,33.8,68.81,78.241,81.584,2.543,"2,023",0,0,15.481,,76.7,74.2,1.121,1.006,24.412,Utah St.
26,TCU,112.239,94.635,0.877,21–12,21,33,50.2,47.8,33.9,29.7,17.1,21.9,32.4,30.7,70.9,51.9,49.1,30.6,30.4,12.5,10.1,58.6,55.9,29.4,35,69.826,77.56,80.165,2.435,"2,023",0,0,60.082,,70.1,71.1,1.057,0.955,33.155,TCU
27,Kentucky,116.802,99.228,0.867,21–11,21,32,51.2,48.8,32.5,29.9,17.3,16.8,38.7,25.5,66.8,50.4,48.3,35.4,33.1,10.2,5.2,55.7,47.8,30.1,35.2,65.992,77.589,80.828,1.993,"2,023",0,0,61.922,,70.3,74.4,1.115,1.01,30.034,Kentucky
28,Maryland,113.224,96.491,0.863,21–12,21,33,51.1,47.9,33.8,27.8,16.2,18.4,30.2,27.2,64.5,52,47.7,33,32.1,9.9,9.9,46.3,48.1,37.5,31.7,64.735,77.882,80.324,2.467,"2,023",0,0,44.512,,73.9,72.7,1.086,0.975,27.939,Maryland
29,Michigan St.,112.981,96.471,0.86,19–12,19,31,51.6,48.1,25.8,28.6,16.4,14.7,27.4,25.2,65.4,47.7,48.6,39.5,31.5,8.1,9.4,57.6,52.5,33.1,38.3,64.873,77.73,81.017,1.988,"2,023",0,0,70.79,,76.2,72.1,1.06,1.018,33.697,Michigan St.
30,Boise St.,110.374,94.297,0.859,23–9,23,32,51.9,47.3,30.7,27.4,16.7,17.7,26.4,23.8,67,50.7,47.8,36,31,8.2,9.5,43,46,37.9,37.4,66.54,77.649,79.489,2.116,"2,023",0,0,17.14,,73.9,69.3,1.058,0.954,25.865,Boise St.
31,Florida Atlantic,112.797,96.445,0.858,29–3,29,32,55,45.9,29.5,26.7,16.7,18.3,30.4,24.5,68.7,54.3,44.8,37.2,32,6.6,7.2,51,33.4,43.8,34.2,68.206,76.023,79.179,2.037,"2,023",0,0,17.425,,71.8,74.9,1.129,0.943,14.493,Florida Atlantic
32,Virginia,110.531,94.635,0.856,25–7,25,32,51.3,48.3,34.5,26.1,13.7,19.7,25.5,25,62.4,50.4,46.5,35.3,34,13.5,11,65.8,52.9,36.1,39.7,61.409,76.587,80.277,2.24,"2,023",0,0,54.261,,70.1,74.8,1.083,0.962,23.626,Virginia
33,Indiana,113.591,97.396,0.854,22–11,22,33,53.8,47.3,30.1,30.6,16.9,16.3,28,27.9,68.5,53.2,45.7,37,33.2,13.5,7.3,54.2,48.1,26.3,38.2,68.139,78.59,80.4,1.798,"2,023",0,0,83.688,,71.2,70.5,1.092,0.996,32.041,Indiana
34,Northwestern,108.63,93.538,0.848,21–11,21,32,47.2,48.4,29.7,31.6,14.8,21.7,28.3,27.3,65.4,46.5,46.6,32.1,33.9,13.5,10.1,55,61,41.2,42.4,64.962,77.681,81.196,2.317,"2,023",0,0,46.827,,75.1,67.7,1.028,0.949,27.628,Northwestern
35,Iowa,120.639,104.666,0.837,19–13,19,32,51.9,53.3,32.6,23.4,14.1,18.5,32.2,27.6,69.6,52.1,52.6,34.3,36.6,8.5,8.8,58.1,50.9,37.4,32.2,69.635,78.343,80.599,2.019,"2,023",0,0,48.544,,73.9,74.4,1.139,1.057,29.414,Iowa
36,Miami FL,118.362,102.695,0.837,25–7,25,32,55,51.3,30,24.1,16.4,18.1,32,29,69,54.9,51.8,36.8,33.6,8.8,8.4,51.6,53.2,34.6,37.7,68.754,76.8,79.373,2.086,"2,023",0,0,45.34,,77.6,74.5,1.147,1.042,22.37,Miami FL
37,USC,112.621,98.046,0.831,22–10,22,32,51.3,45.2,33.8,29.8,18.1,18.1,29,33,68.4,51.1,42.4,34.5,33.4,13.7,7.8,51.7,56.3,33,37.4,68.151,78.99,81.803,1.661,"2,023",0,0,71.61,,74.4,71.9,1.059,0.979,26.907,USC
38,Penn St.,116.898,101.856,0.83,22–13,22,35,55.5,49.2,21.4,25.9,13.7,13.1,18.8,25.1,64.5,53.5,48.8,38.5,33.3,6,9.6,52.7,56.1,47.4,37.5,64.608,76.678,78.748,2.443,"2,023",0,0,28.667,,73.8,70.4,1.101,1.042,29.269,Penn St.
39,Illinois,110.074,96.228,0.824,20–12,20,32,51.6,46.9,33.8,29.6,18.2,18.6,32.3,26.8,69.3,55.3,45.3,30.9,33.6,14,8.1,46.6,44.7,41.9,30.9,69.723,78.708,81.369,1.407,"2,023",0,0,80.508,,68,70.2,1.065,0.955,28.719,Illinois
40,Drake,110.661,96.744,0.824,26–7,26,33,53.1,47.3,28.8,26.7,15.5,17.7,24.3,22.4,66.7,51.9,47.5,36.7,31.2,7.1,6.5,49.1,44,36.3,38.4,66.414,76.348,80.119,2.262,"2,023",0,0,12.047,,77.1,69.9,1.084,0.945,12.747,Drake
41,North Carolina St.,114.075,100.06,0.819,23–10,23,33,51.8,49.8,25.3,34,13.6,19.1,30.7,26.6,69.9,51.5,50.6,34.9,32.2,12.1,6.4,45,44.9,37.6,33.5,69.399,77.043,80.898,2.236,"2,023",0,0,54.788,,72,73.4,1.115,1.009,22.74,North Carolina St.
42,Missouri,118.482,104.618,0.807,24–9,24,33,55.1,52.3,29.5,35.2,16,24.3,26.8,37.3,70.2,55.9,51.7,36.1,35.4,8.4,6.7,56.5,57.7,43.3,44.1,69.332,76.427,79.263,2.64,"2,023",0,0,22.017,,75.8,75.2,1.123,1.054,29.028,Missouri
43,Mississippi St.,104.113,92.031,0.805,21–12,21,33,46.9,46.2,34.6,27.6,19.3,22,35.2,29,65,50.5,46.2,26.6,30.8,11.3,7.9,59.1,58.6,34.5,44,63.747,77.889,81.33,2.469,"2,023",0,0,32.142,,64.7,71.9,0.999,0.925,28.646,Mississippi St.
44,Providence,115.711,102.334,0.804,21–11,21,32,51.5,50,36.8,25.5,16.9,16.9,35.2,26.7,68.4,50.9,49.6,35.1,33.9,11.5,9.6,53.4,48.2,31.6,33.9,67.044,76.513,80.261,1.886,"2,023",0,0,60.584,,74.5,74.4,1.12,1.023,27.457,Providence
45,Nevada,110.216,97.539,0.803,21–10,21,31,50.5,49,39.5,31.4,15.2,18.7,22.9,25.1,66.2,50.3,49.3,33.8,32.5,9.7,8.5,58.1,52.9,37.4,42.2,66.045,78.561,80.663,1.742,"2,023",0,0,35.605,,79.2,73.7,1.063,0.996,25.294,Nevada
46,VCU,106.148,93.989,0.802,27–7,27,34,52.2,47,41.8,30.5,19.5,24.1,29,29.8,68.4,52.3,46.2,34.7,32.3,12.7,9.7,53.1,51,32.8,34.1,68.076,77.628,79.969,1.702,"2,023",0,0,48.257,,69.7,70.3,1.044,0.919,15.349,VCU
47,Arizona St.,106.461,95.126,0.785,22–12,22,34,47.5,46.4,30.8,33.4,16.9,20.6,29.6,31.8,69.2,47.9,43.8,31.4,33.6,13.2,8.2,56.9,53.9,39.5,39.1,68.376,77.086,80.938,2.227,"2,023",0,0,48.459,,68.9,70.2,1.006,0.968,28.073,Arizona St.
48,Oral Roberts,113.537,101.533,0.783,26–4,26,30,56.1,48.5,24.6,22,13.2,17.6,24.5,27.4,70.8,56.6,46.6,37,34.2,13.5,7.8,47.9,46.2,45.8,39.9,70.514,77.114,81.1,2.744,"2,023",0,0,19.103,,78.4,71.9,1.165,0.988,14.179,Oral Roberts
49,Iona,110.012,98.475,0.781,27–7,27,34,51.8,45.9,29,31.2,15.3,20.9,32,30.5,68.8,50.8,47,36,29.2,14.8,6.5,53.4,50.6,32.1,34.5,68.747,77.495,81.431,1.855,"2,023",0,0,4.234,,73.1,70.2,1.105,0.941,9.914,Iona
50,College of Charleston,110.307,98.804,0.78,30–3,30,33,51.5,47.9,32.7,24.7,16.7,19.3,35.1,25.5,70.8,52.9,49.1,33.3,30.3,7.8,10.9,49.1,44.8,47.4,32,71.15,76.906,79.849,2.033,"2,023",0,0,0.2,,74.3,68,1.126,0.944,8.739,College of Charleston
51,Kent St.,107.746,97.237,0.765,26–6,26,32,51.3,47.2,32,38.8,16.3,22.6,30.9,30.2,69.3,52.2,47.8,33.2,30.9,12.5,7.4,45,50.8,38.6,40.7,68.09,75.683,79.231,2.392,"2,023",0,0,0.364,,72.3,72.4,1.088,0.953,15.057,Kent St.
52,Pittsburgh,113.9,103.952,0.741,22–11,22,33,53.2,49.2,32.4,30.6,16.4,16.7,30.4,28.2,68.1,52.7,48.6,36,33.4,11.5,10.1,54.5,52.9,44.1,39.8,67.342,77.406,81.297,2.253,"2,023",0,0,25.827,,76.1,71,1.117,1.034,21.926,Pittsburgh
53,Louisiana Lafayette,112.421,102.833,0.736,23–7,23,30,53,50.6,37.7,33.8,17.5,18.1,33.8,26.4,68.7,52.2,49.2,36.6,35.9,7.3,8.2,50.8,42.5,31.7,29.9,68.482,76.551,80.741,2.183,"2,023",0,0,25.472,,67.2,70.5,1.096,1.023,14.55,Louisiana Lafayette
54,Furman,113.812,104.96,0.717,24–7,24,31,55.6,50.6,34.7,31.8,15.8,18.4,29.6,27.1,68.8,59.1,51.2,34.4,33.1,8.3,8.2,58.5,43.2,46.4,35.2,68.451,76.593,79.326,1.897,"2,023",0,0,4.21,,73.5,70.8,1.155,1.025,10.175,Furman
55,Vermont,110.357,102.776,0.694,22–10,22,32,54.9,50.7,28.4,26.9,14.2,16.8,19.3,22.5,65.5,55.5,50,36.2,34.6,8.3,8.5,52.1,44.8,43.3,36.1,64.732,76.476,78.731,2.416,"2,023",0,0,4.133,,70.3,72.4,1.09,1.007,13.061,Vermont
56,Montana St.,105.59,98.404,0.692,23–9,23,32,50.9,49.4,44.4,35.5,17.6,20.1,25.7,25.5,67.1,52.4,48,32,34.8,8.7,5.5,49.6,39.1,33.3,34.2,66.405,77.314,80.149,2.336,"2,023",0,0,12.854,,76.3,74,1.051,0.991,12.948,Montana St.
