,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Villanova,118.8,89.5,0.963,27–4,27,31,54.1,45.8,34.5,31.8,16.5,20.6,29.1,28.7,67.8,57.2,43.3,33.5,33.4,9.6,6.7,61.1,58.4,44.4,37.2,67.4,77.358,80.028,1.709,"2,016",2.7,3.629,81.555,,77.9,67,1.134,0.93,30.12,Villanova
2,Kansas,120.5,91.9,0.958,26–4,26,30,55.7,45.3,38.5,37.3,17.3,19,32.3,28.6,69,51.7,42.8,42.5,33.7,10.5,9,53.8,48.3,33.5,32.4,69.9,77.281,80.733,1.863,"2,016",0,-0.35,80.776,,70,73.1,1.146,0.964,34.553,Kansas
3,Virginia,119.5,92.4,0.951,24–6,24,30,54.6,48.2,33.1,33.9,15.3,19.4,30.4,25.9,61.3,52.1,45.9,40.7,34.6,9.7,6,56.5,49.2,27.9,38.5,61.7,77.777,80.253,1.985,"2,016",-0.1,-0.35,74.302,,76.1,69,1.149,0.969,34.496,Virginia
4,West Virginia,115,89.9,0.944,24–7,24,31,50,48.3,46.8,55,19.2,25.4,42.2,26.8,70.8,50.6,48.5,32.3,32,8.1,8.6,54.2,50.4,30.1,35.9,71.1,77.299,80.627,1.724,"2,016",-1.5,-1.864,46.477,,66.8,70.5,1.115,0.927,33.406,West Virginia
5,Kentucky,120.4,94.4,0.943,23–8,23,31,53.1,44.4,38.1,41.8,16.4,17.8,37.8,31,68.7,52.8,42.4,35.8,32.9,14.1,7.1,50.8,40.7,30.7,28.8,68.4,76.716,81.335,0.956,"2,016",-0.8,-0.536,92.397,,67.5,70,1.141,0.981,27.537,Kentucky
6,Oklahoma,118,93,0.939,24–6,24,30,54.6,46.2,32.9,27.8,17.6,17.3,30.7,29.6,71.3,47.8,44.1,43,33.4,12.6,9.2,53.3,41.6,40.7,34.9,71.3,77.014,80.385,2.158,"2,016",1.8,1.629,57.714,,72.7,67.6,1.121,0.974,34.427,Oklahoma
7,Michigan St.,121.3,95.6,0.939,26–5,26,31,56.5,42.7,30.8,34.2,17.6,14.2,37.3,24.1,67.4,51.4,41.1,43.9,30.6,13.4,8.3,72.3,49.2,35.2,32.8,68,77.182,80.048,1.818,"2,016",-2.3,-2.371,59.574,,72.1,71.3,1.188,0.939,25.099,Michigan St.
8,North Carolina,120.1,95.3,0.935,25–6,25,31,51.8,47.8,32.5,30,15.4,18.5,40.1,29.7,71.3,53.8,44.1,31,36.3,11.3,6.5,58.5,45.6,26.9,35.8,72.6,77.842,81.623,1.854,"2,016",1.9,1.65,90.938,,73.6,69.6,1.163,0.991,30.43,North Carolina
9,Miami FL,118.5,94.9,0.928,24–6,24,30,53.4,47.6,39.3,27.2,15.8,17.5,31.1,29.2,66,53,46.4,36.1,33.7,9.2,7.5,49.1,46.5,34.5,30.4,66.9,77.696,81.429,2.218,"2,016",0.5,0.136,66.635,,75,69.6,1.139,0.997,31.195,Miami FL
10,Purdue,116.2,93.3,0.926,24–7,24,31,53.5,44.3,35.7,28.4,17.9,13.9,35.9,23.4,68.2,52.5,42.7,36.8,31.7,11.7,7.9,64.2,50.8,35.9,32.7,69,78.542,82.518,1.518,"2,016",-1.4,-1.114,66.451,,74.1,70.9,1.138,0.948,25.923,Purdue
11,Wichita St.,112.7,90.6,0.925,22–7,22,29,50.1,44.5,37.9,46.7,14.6,23.7,32.4,24.3,66.5,50.1,41.8,33.4,32.8,10.9,8.4,57.5,49.4,38.5,36.7,66.9,77.002,80.021,1.873,"2,016",-0.2,0.393,27.563,,71.7,72.6,1.11,0.892,18.131,Wichita St.
12,Vanderbilt,115.1,92.6,0.924,19–12,19,31,53.5,43,40.2,34.5,16.7,14.4,27.5,29.4,69.3,50.5,42.7,39,29.1,13,8.6,56.5,43.6,37.9,30.6,68.7,78.641,82.804,1.344,"2,016",0,0,60.005,,70,67.4,1.103,0.964,30.078,Vanderbilt
13,Duke,121.4,97.7,0.924,22–9,22,31,53.8,48.8,40.6,25.2,14.6,17.7,33.7,34.3,68.5,50.9,48.2,38.9,33.5,9.6,9.6,48.8,52.9,39.7,28.8,68.8,78.698,82.182,1.063,"2,016",0.5,0.464,94.152,,72.4,68.2,1.181,1.034,32.556,Duke
14,Xavier,116.8,94.3,0.921,26–4,26,30,51.6,47.9,44.1,33.4,17.6,19.3,35,25.9,72.5,50.1,48.1,36.4,31.7,8.8,8.9,60.3,55.6,34.4,41.2,72.4,77.888,80.569,1.534,"2,016",-1,-1.371,65.075,,73.8,69.9,1.117,0.972,29.014,Xavier
15,Iowa,116.7,94.5,0.919,21–9,21,30,51.9,47.3,34,25.7,14.6,18.8,32,31.5,69.3,49,48.1,38.2,30.6,13,7.3,57.3,52.4,35.2,38.6,70,78.494,82.096,2.125,"2,016",0,0.093,54.413,,71.8,67.7,1.127,0.987,29.743,Iowa
16,Indiana,120.3,97.9,0.915,25–6,25,31,58.9,49.5,33.1,29.3,19.7,19,37.3,28.7,69,56.1,48.4,41.9,34.5,9.7,8.8,54.7,46.3,41.1,31.2,69.4,77.368,80.228,1.749,"2,016",0.5,0.886,68.041,,72,66,1.195,0.994,22.879,Indiana
17,Texas A&M,113.9,93.2,0.909,24–7,24,31,52,47.8,38.6,32.4,17.3,21.2,34.7,29.8,68.4,51.2,46,35.5,33.6,10.4,9.2,65.5,58.2,37.4,39.7,68.3,78.219,80.689,1.815,"2,016",0.2,0.136,69.544,,67.2,65.9,1.109,0.959,26.175,Texas A&M
18,Iowa St.,120.8,99.1,0.907,21–10,21,31,56.9,49.6,25.8,23.7,15.7,17.2,27.3,30.9,71.5,56.9,48.7,37.9,34.1,10.1,6.9,53.3,50.7,34.9,35.7,72.2,77.43,79.856,2.427,"2,016",0.5,0.464,63.044,,70.8,68.1,1.134,1.035,34.101,Iowa St.
19,Arizona,115.8,95.2,0.905,24–7,24,31,54.1,46.4,43.3,28.2,17.8,16.4,34.4,23.4,70,53.1,45.8,37.7,31.6,11.2,7.5,52.3,48.9,29.1,31.5,69,78.309,82.474,2.016,"2,016",-0.7,-1.079,66.359,,72.4,71.5,1.136,0.953,23.992,Arizona
20,California,112.3,92.8,0.9,22–9,22,31,52.7,43.6,41.7,36.5,17.9,13.8,32.7,25.6,68.3,51.3,40.8,36.9,34.5,11,8.1,49.3,48.1,33.6,26.1,68.8,79.119,82.18,1.439,"2,016",-1.1,-1.536,78.13,,65.7,70.2,1.091,0.968,26.629,California
21,Gonzaga,114.5,95,0.895,22–7,22,29,54.6,44.4,35.2,28.3,16.8,14.9,31.5,24.9,68.7,54.2,44.8,37,29.1,7.2,7.7,50.2,44.1,35.5,32.3,68.6,78.445,82.216,1.788,"2,016",0.8,1.393,58,,74.8,70.1,1.139,0.955,19.32,Gonzaga
22,Oregon,116.3,97,0.89,24–6,24,30,52.1,49.1,40.1,31.9,16.6,20.4,33.7,30.5,69.5,52.6,46.6,34.1,36,15.1,8.2,50.9,53.5,34.4,33.4,69.3,78.112,80.387,1.495,"2,016",0.7,-0.35,51.771,,72.4,69.5,1.115,0.991,26.353,Oregon
23,Butler,118.1,98.7,0.887,21–9,21,30,52.7,48.9,40.5,36.9,14.4,18.8,32.6,27.7,70.5,50.6,48,38.3,33.6,9.4,10.6,51.2,50.8,30.3,36.9,69.5,77.299,79.091,2.128,"2,016",0.2,0.4,61.077,,73,71.5,1.148,1.004,29.574,Butler
24,Utah,114.9,96.3,0.884,23–7,23,30,55,46.9,38.4,23.7,17.4,15.8,29.2,27.4,67.6,56,43.2,35.6,36.6,10.5,10.4,57.2,42.9,37.5,31.8,67.3,77.564,81.582,2.011,"2,016",-0.1,-0.864,34.826,,71.2,72.4,1.123,0.993,29.227,Utah
25,Maryland,114.3,96,0.882,23–7,23,30,55.6,46.3,35.5,27.1,19.4,16.5,30.1,29.4,67.1,55.7,45.4,36.9,31.8,14.6,8,52.8,47.4,37.7,35.2,68.1,79.102,82.268,1.774,"2,016",0.7,0.886,87.245,,76.2,68.6,1.119,0.978,27.374,Maryland
26,Seton Hall,110.2,93,0.876,22–8,22,30,49.6,45.4,40,33.7,19,19.4,35,30.4,70.4,48.4,44.3,35,31.7,11.7,10.2,51.8,51.1,29.4,32.4,70.1,77.746,80.19,1.139,"2,016",-1,-1.079,62.243,,67,67.6,1.053,0.95,28.036,Seton Hall
27,VCU,111,93.7,0.875,22–9,22,31,51.2,48.8,32.4,36.9,16.8,22.7,33.3,28.8,69.9,49.4,47.4,36.7,34.6,9.8,9.7,52.3,53.4,32.5,30.2,70.6,76.701,79.253,2.092,"2,016",-0.1,0.379,38.015,,68.4,67.8,1.093,0.95,20.256,VCU
28,Cincinnati,108.9,92.2,0.872,22–9,22,31,49.3,45.1,33.2,26.8,16.5,20.9,36.5,30.5,66,47.9,40.6,34.4,35.5,15.4,8.3,60.9,51.2,36.6,35.2,66.4,77.619,80.72,1.92,"2,016",-0.8,-0.6,56.651,,70.2,66.5,1.084,0.921,22.847,Cincinnati
