,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Virginia,122.8,88,0.979,28–2,28,30,55.8,43,30,27,14.8,17.8,30.6,25.7,61.2,51.9,44.5,41.4,27.3,12.8,8.2,56.7,44.5,38.3,41.1,61.1,77.203,81.011,1.552,"2,019",2.584,2.65,73.381,,74.6,65.1,1.175,0.889,32.709,Virginia
2,Gonzaga,125.3,91.7,0.973,29–2,29,31,59.8,43.8,36.2,25.6,14.2,18.9,31.1,27.3,71.8,62.4,42.6,36.7,30.7,13.5,5,55.8,42.3,35.2,34.7,72.2,78.212,80.475,1.839,"2,019",-0.434,-0.35,55.473,,77,68.9,1.251,0.904,21.411,Gonzaga
3,Duke,119.3,88.2,0.97,26–5,26,31,53.4,44.6,34.5,23.6,17.5,20,36.4,29.6,73.9,57.9,45,30.6,29.2,16.6,8.1,52.5,49.7,38.1,34.5,74.4,78.656,80.832,0.687,"2,019",0.178,-0.35,88.931,,68.9,68.6,1.133,0.908,35.744,Duke
4,Michigan,114.8,86.9,0.961,26–5,26,31,51.9,44.3,28.2,24.8,13.7,18.7,24.9,25.7,65.5,51.4,44.4,35.1,29.4,10.4,9.5,51.9,43.5,39.6,29,66.1,77.708,81.075,1.42,"2,019",-0.537,-0.371,80.432,,69.4,66.4,1.075,0.898,31.608,Michigan
5,Texas Tech,112.6,85.7,0.959,26–5,26,31,53.8,42.7,33.6,37.8,18.1,23,28.8,27.9,67.5,52.9,41.4,36.9,29.9,15.5,6.9,51.7,47.8,35.7,40.2,67.5,76.923,79.206,1.87,"2,019",2.271,3.136,47.191,,72.3,68.4,1.078,0.865,29.98,Texas Tech
6,North Carolina,119.2,91.5,0.954,26–5,26,31,53.3,48.2,31.2,29.8,17.4,18.7,34.9,23.4,76.3,51.8,46.9,37.3,33.2,10.1,11.3,62,54.5,36,42.5,76.6,78.502,80.814,1.759,"2,019",-0.837,-1.35,76.654,,74.1,68.8,1.131,0.953,35.408,North Carolina
7,Tennessee,122.5,94.1,0.954,26–4,26,30,55.3,46.7,33.7,34.6,15.9,18.6,31.6,29.8,69.7,56.6,43.9,35.2,34,14.8,6,61.5,52.5,32.3,39.6,69.1,77.811,80.279,2.179,"2,019",-0.274,-0.371,55.685,,76.8,65.4,1.165,0.971,31.454,Tennessee
8,Michigan St.,119.6,92.1,0.953,25–6,25,31,56.1,43.4,35.2,28.6,18.7,15,34.7,27.5,68.8,55.4,40.9,38.1,31.8,14.2,8,67.8,51.9,37.7,36.7,69.4,77.545,79.804,1.768,"2,019",1.258,1.629,70.057,,74.5,67.2,1.15,0.951,35.481,Michigan St.
9,Purdue,121.1,95.2,0.941,23–8,23,31,52.9,49.3,29.9,32.5,16,19.6,35,26.5,66.4,51.1,47.7,36.7,34.3,13.4,11.4,53.4,55,44.8,43.6,67,78.269,81.609,1.565,"2,019",0.573,1.136,56.197,,72.9,73.2,1.14,0.995,35.389,Purdue
10,Kentucky,116.2,91.5,0.94,26–5,26,31,53.1,47.1,43.4,26.4,18.6,18.7,36.6,25.6,68.1,52.8,44.1,35.9,34.7,14,7.7,51.8,48.2,30.3,38.6,67.4,78.06,80.796,0.592,"2,019",0.392,0.629,95.376,,74.3,69.8,1.124,0.954,32.863,Kentucky
