,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Virginia,113.8,84.3,0.969,28–2,28,30,52.9,43.5,25.1,25.1,14.5,21.4,27.2,25.9,60.6,49.9,42.6,38.9,29.9,13,7.8,54.9,45.6,35.2,39.7,60.5,77.508,80.13,1.72,"2,018",-3.177,-3.35,71.072,,75.6,71.8,1.106,0.867,28.649,Virginia
2,Villanova,126.8,95.5,0.963,27–4,27,31,59.7,49.2,28.9,25.7,14.5,18.6,28,27,70.9,60.2,49.4,39.5,32.6,10.3,7.9,54.2,53.1,46.5,34.9,70.1,77.329,79.488,1.313,"2,018",2.467,2.65,80.592,,76.8,74.1,1.221,0.996,31.764,Villanova
3,Purdue,122.9,92.6,0.963,26–5,26,31,58,46.6,35.9,22.7,15.6,18.2,27.7,27.7,68.6,54.6,44.6,42.1,33.5,13.5,7,60.2,49.3,39.9,34.6,69.2,77.695,82.87,2.106,"2,018",-0.101,-0.371,59.458,,74.7,67.7,1.187,0.943,29.247,Purdue
4,Duke,123.8,94.1,0.959,25–6,25,31,56.1,46,35.2,22.2,17.6,17.1,39.4,29,71,55.6,44.4,38,32.5,13.3,6.9,57.3,53.6,35.6,36.9,71.4,79.097,82.429,0.688,"2,018",-0.094,0.629,92.943,,70.5,74.6,1.194,0.974,30.401,Duke
5,Cincinnati,112,86.3,0.953,27–4,27,31,52.1,42.9,36.6,28,17.5,22.7,38.6,28.7,66.9,50.4,40.7,36.7,31,16.5,8.3,60.6,50.2,35.4,37.6,66.8,77.445,80.66,1.731,"2,018",-1.623,-1.371,63.963,,69.4,68,1.131,0.857,20.913,Cincinnati
6,Michigan St.,119.7,93.1,0.947,28–3,28,31,58.6,42,37.6,28.8,19.5,14.7,36.3,27,68.7,56.1,37.8,42.1,33.2,19,6.9,68.7,55.3,35.9,35.6,68.4,77.332,80.792,1.323,"2,018",-1.104,-0.864,84.499,,74.5,72.9,1.19,0.937,26.11,Michigan St.
7,Kansas,121,95.8,0.936,24–7,24,31,57.7,48.7,26.5,25.4,16.5,18.6,29.2,31.3,70.4,56.3,47.9,39.8,33.2,11.7,10.1,56.7,48.8,41.5,39.1,70,77.704,80.921,1.783,"2,018",1.779,0.65,80.44,,70,71.5,1.157,1.012,32.799,Kansas
8,West Virginia,119.2,95.5,0.928,22–9,22,31,50.4,48.9,31,45.2,16.4,23.5,37,30.5,70.9,49.1,45.1,34.9,36.8,15.7,9.8,54.2,54.1,39.1,37.9,71.5,77.304,80.45,1.669,"2,018",0.262,0.886,38.54,,76.7,71.1,1.131,0.969,31.36,West Virginia
9,Xavier,121.5,97.7,0.925,27–4,27,31,56.3,50.4,40.5,24.6,17.4,15.9,30.3,23.4,72.4,56.6,49.9,37.2,34.2,8.1,9.8,57.7,53.7,36.1,41.5,71.8,78.483,80.776,1.844,"2,018",-1.105,-2.35,76.28,,78.5,74.5,1.159,1.027,31.551,Xavier
10,Ohio St.,115.9,93.3,0.924,24–7,24,31,54.5,48.4,32,28.8,17.4,18.1,30.3,24.4,67.7,55.3,46.4,35.3,34.3,11.4,6.8,52.5,50.1,33,39.8,68,76.726,79.628,1.815,"2,018",-0.644,-0.114,59.776,,72.6,69.9,1.112,0.973,29.128,Ohio St.
11,North Carolina,120.8,97.5,0.922,22–9,22,31,53,50.9,28,25.3,17,16.3,38.7,25.4,71.9,51.6,45.8,37.1,38.6,11.9,11,59.2,56.1,34.6,41.6,72.8,77.462,80.482,1.844,"2,018",-1.273,-1.371,77.447,,73.6,66.7,1.149,1.025,36.895,North Carolina
12,Gonzaga,118.3,95.6,0.921,27–4,27,31,57.2,47.2,31.4,30.5,16,17.7,33.8,23.2,69.5,59,43.8,36.3,35.5,10.1,6.9,51.3,46.7,39.6,35.8,70.4,78.446,81.272,1.51,"2,018",0.278,0.464,73.63,,72.7,71.7,1.199,0.958,19.692,Gonzaga
13,Texas Tech,112.2,90.7,0.92,23–8,23,31,52.6,46.6,40.5,38.6,18.3,22.5,33.2,28.6,68.7,51.9,45.5,36,32.1,12.3,9.5,51.5,46.2,34.4,39.2,67.9,77.621,79.516,1.786,"2,018",1.038,1.136,36.705,,70.7,69.6,1.094,0.932,30.712,Texas Tech
14,Tennessee,113.4,91.7,0.92,23–7,23,30,50.9,46.7,36.2,37.8,17.9,20.7,32.3,31.2,67.6,47.4,46.2,38.1,31.7,12.9,8.3,63.1,50,35.4,36.6,67.7,76.811,79.896,1.393,"2,018",-0.983,-0.864,47.881,,75.8,70.4,1.09,0.971,32.111,Tennessee
15,Florida,116,94.8,0.911,20–11,20,31,51,48.8,33.4,31.4,14.3,20.4,29.1,30.5,68.3,47.6,46.5,37.4,35.5,12.3,8.4,49.1,47.2,39.8,33.7,68.4,76.89,80.092,1.885,"2,018",-0.246,-0.079,69.428,,72.2,74,1.102,1,31.651,Florida
