Rk_x,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Rk_y
29,Vermont,116.1,98.3,0.872,3–0,3,3,59.0,46.2,25.6,23.4,9.0,20.1,22.8,24.0,63.1,62.7,41.7,35.7,35.5,17.7,8.8,48.3,48.4,40.7,39.2,63.3,76.476,78.731,2.416,2015,0.0,0.0,4.133,72.7,73.0,1.242,0.914,4.019,
30,North Carolina St.,119.2,101.6,0.863,1–1,1,2,55.3,58.2,17.1,31.8,14.6,18.2,24.2,23.7,68.7,55.7,54.8,36.4,41.7,8.1,5.1,45.0,55.6,35.8,43.6,68.6,77.043,80.898,2.236,2015,0.0,0.0,54.788,71.4,82.9,1.1,1.143,28.5,31.0
31,Tennessee,110.4,94.2,0.861,1–1,1,2,55.1,53.2,26.2,22.7,21.4,13.8,30.5,14.5,65.3,54.7,51.6,37.0,37.0,6.3,1.9,59.2,56.0,50.5,41.8,64.8,77.337,81.747,1.884,2015,0.0,0.0,59.152,82.1,68.0,1.08,1.026,24.291,
32,Colgate,120.5,103.1,0.857,3–0,3,3,64.8,49.7,33.1,17.1,10.4,15.6,12.8,20.5,70.4,65.1,56.1,42.9,27.5,14.0,1.8,74.5,57.3,36.6,42.8,71.9,77.432,81.122,2.225,2015,0.0,0.0,0.2,68.4,68.8,1.241,0.985,2.353,
33,Indiana,112.7,96.8,0.852,1–1,1,2,52.1,43.3,26.5,34.5,11.4,12.2,24.2,32.0,65.6,55.9,36.1,25.0,36.2,13.9,5.4,63.8,53.5,20.5,39.5,68.2,78.59,80.4,1.798,2015,0.0,0.0,83.688,67.7,82.9,1.091,1.045,38.136,19.0
34,Iowa St.,113.9,98.1,0.848,1–1,1,2,50.4,58.9,23.3,41.1,27.9,21.7,52.2,22.6,64.6,47.0,55.3,39.4,41.7,19.1,7.2,44.2,52.2,28.4,50.5,63.8,77.272,80.549,2.389,2015,0.0,0.0,35.724,70.4,79.5,1.053,1.107,53.732,27.0
35,Miami FL,122.5,106.4,0.835,1–1,1,2,55.4,55.1,21.5,33.3,13.3,16.3,25.4,32.8,67.5,60.5,51.4,31.1,40.4,10.0,11.8,46.7,56.4,37.2,40.2,67.4,76.8,79.373,2.086,2015,0.0,0.0,45.34,69.2,71.8,1.126,1.164,35.056,
36,Baylor,135.3,117.9,0.83,0–1,0,1,58.8,55.7,25.5,23.0,17.8,22.6,17.9,63.6,61.9,40.9,55.0,48.3,38.1,5.0,27.3,52.2,50.0,56.9,34.4,64.9,77.095,80.421,1.83,2015,0.0,0.0,57.746,92.3,71.4,1.163,1.26,47.1,30.0
37,Maryland,109.6,96.3,0.816,1–1,1,2,44.4,53.1,30.2,35.1,13.0,20.3,36.1,26.9,61.7,36.6,51.4,37.8,39.1,9.5,15.5,60.5,63.8,38.8,23.7,62.0,77.882,80.324,2.467,2015,0.0,0.0,44.512,77.1,61.8,1.054,1.005,23.344,25.0
38,Arizona St.,104.9,92.4,0.811,2–1,2,3,43.7,50.6,34.6,36.8,15.6,19.9,30.9,31.0,68.6,40.8,48.6,31.6,36.2,9.5,3.9,67.2,56.9,43.4,35.6,67.9,77.086,80.938,2.227,2015,0.0,0.0,48.459,63.5,70.0,0.967,1.006,33.607,
